row_label_raw,row_label_full,Previous year,Real estate VND,Trading and services VND,Construction VND,Elimination VND,Total VND,numeric__Real estate VND,numeric__Trading and services VND,numeric__Construction VND,numeric__Elimination VND,numeric__Total VND
Segment revenue,Segment revenue,Segment revenue,"566,145,801,205","155,842,802,862","485,543,981,616","(181,785,883,958)","1,025,746,701,725",,,,,
Segment cost,Segment cost,Segment cost,"(375,969,873,873)","(129,795,736,442)","(454,503,173,126)","178,091,554,258","(782,177,229,183)",,,,,
Segment results,Segment results,Segment results,"190,175,927,332","26,047,066,420","31,040,808,490","(3,694,329,700)","243,569,472,542",,,,,
Unallocated expense,Unallocated expense,Unallocated expense,,,,,"(195,867,048,456)",,,,,
Finance income,Finance income,Finance income,,,,,"227,609,195,429",,,,,
Finance expenses,Finance expenses,Finance expenses,,,,,"(118,446,839,583)",,,,,
Share in profit of associates,Share in profit of associates,Share in profit of associates,,,,,"(17,985,600,430)",,,,,
Other income,Other income,Other income,,,,,"83,469,205,680",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(56,462,284,024)",,,,,
Current corporate income tax expenses,Current corporate income tax expenses,Current corporate income tax expenses,,,,,"(52,587,951,582)",,,,,
Deferred corporate income tax expenses,Deferred corporate income tax expenses,Deferred corporate income tax expenses,,,,,"(1,674,941,019)",,,,,
Profit after tax,Profit after tax,Profit after tax,,,,,"111,623,208,557",,,,,
Non-controlling interest,Non-controlling interest,Non-controlling interest,,,,,"(7,103,871,126)",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"118,727,079,683",,,,,
As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,As at 31 December 2023,,,,,
Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,,,,,
Segment assets,Segment assets,Segment assets,"11,325,367,036,397","51,761,017,650","770,481,143,610","(442,602,045,717)","11,705,007,151,940",,,,,
Unallocated assets,Unallocated assets,Unallocated assets,,,,,"5,122,599,786,648",,,,,
Total assets,Total assets,Total assets,,,,,"16,827,606,938,588",,,,,
Segment liabilities,Segment liabilities,Segment liabilities,"8,355,272,043,647","109,528,039,872","680,791,964,807","(436,100,027,040)","8,709,492,021,286",,,,,
Unallocated liabilities,Unallocated liabilities,Unallocated liabilities,,,,,"224,557,035,267",,,,,
Total liabilities,Total liabilities,Total liabilities,,,,,"8,934,049,056,553",,,,,
