row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,"12,781,346,371","15,451,485,620",,
Deferred income tax liabilities,Deferred income tax liabilities,Deferred income tax liabilities,"(27,586,977,645)","(28,582,175,875)",,
Beginning balance of the year,Beginning balance of the year,Beginning balance of the year,"(14,805,631,274)","(13,130,690,255)",,
Income statement charged,Income statement charged,Income statement charged,"19,910,671,333","(1,497,551,057)",,
Impact of business combination during the year,Impact of business combination during the year,Impact of business combination during the year,"(65,389,473)","(177,389,962)",,
Ending balance of the year,Ending balance of the year,Ending balance of the year,"5,039,650,586","(14,805,631,274)",,
In which:,In which:,In which:,In which:,In which:,,
Deferred income tax assets,Deferred income tax assets,Deferred income tax assets,"28,270,503,849","12,781,346,371",,
Deferred income tax liabilities,Deferred income tax liabilities,Deferred income tax liabilities,"(23,230,853,263)","(27,586,977,645)",,
