row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Profit after corporate income tax,Profit after corporate income tax,Profit after corporate income tax,"114,535,926,550","118,727,079,683",,
Adjustments,Adjustments,Adjustments,-,-,,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"114,535,926,550","118,727,079,683",,
Weighted average number of ordinary shares,Weighted average number of ordinary shares,Weighted average number of ordinary shares,"609,851,995","609,851,995",,
Earnings per share,Weighted average number of ordinary shares > Earnings per share,Earnings per share,188,195,188.0,195.0
