row_label_raw,row_label_full,ASSETS,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"15,985,757,394,009","13,978,090,756,849",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,V.1,"785,165,517,804","2,307,305,744,085",110.0,,,
1. Cash,1. Cash,1. Cash,111,,"391,704,493,380","2,296,937,418,845",111.0,,,
2. Cash equivalents,2. Cash equivalents,2. Cash equivalents,112,,"393,461,024,424","10,368,325,240",112.0,,,
II. Short-term investments,II. Short-term investments,II. Short-term investments,120,,"895,900,000,000","196,710,000,000",120.0,,,
1. Held-to-maturity investments,1. Held-to-maturity investments,1. Held-to-maturity investments,123,V.2a,"895,900,000,000","196,710,000,000",123.0,,,
III. Short-term accounts receivables,III. Short-term accounts receivables,III. Short-term accounts receivables,130,,"5,943,738,452,685","4,704,512,368,219",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,V.3,"1,188,156,659,391","1,037,431,749,701",131.0,,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,V.4,"29,390,434,469","213,206,573,008",132.0,,,
3. Short-term loan receivables,3. Short-term loan receivables,3. Short-term loan receivables,135,V.5,"187,564,637,167","277,450,000,000",135.0,,,
4. Other short-term receivables,4. Other short-term receivables,4. Other short-term receivables,136,V.6,"4,548,370,292,505","3,199,940,372,128",136.0,,,
5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,137,V.7,"(9,743,570,847)","(23,517,646,618)",137.0,,,
6. Shortage of assets waiting for resolution,6. Shortage of assets waiting for resolution,6. Shortage of assets waiting for resolution,139,,-,"1,320,000",139.0,,,
IV. Inventories,IV. Inventories,IV. Inventories,140,V.8,"8,154,605,622,433","6,551,257,807,732",140.0,,,
1. Inventories,1. Inventories,1. Inventories,141,,"8,157,039,128,017","6,553,691,313,316",141.0,,,
2. Provision for obsolete inventories,2. Provision for obsolete inventories,2. Provision for obsolete inventories,149,,"(2,433,505,584)","(2,433,505,584)",149.0,,,
V. Other current assets,V. Other current assets,V. Other current assets,150,,"206,347,801,087","218,304,836,813",150.0,,,
1. Short-term prepaid expenses,1. Short-term prepaid expenses,1. Short-term prepaid expenses,151,V.13,"169,357,579,307","186,173,087,708",151.0,,,
2. VAT deductibles,2. VAT deductibles,2. VAT deductibles,152,,"11,927,548,066","14,676,635,397",152.0,,,
3. Tax and other receivables from the State,3. Tax and other receivables from the State,3. Tax and other receivables from the State,153,V.17,"25,062,673,714","17,455,113,708",153.0,,,
B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,B. NON- CURRENT ASSETS,200,,"2,553,566,187,167","2,849,516,181,739",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"949,950,067,335","1,381,178,201,509",210.0,,,
1. Long -term loan receivables,1. Long -term loan receivables,1. Long -term loan receivables,215,V.5,"171,200,000,000",-,215.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,V.6,"778,750,067,335","1,381,178,201,509",216.0,,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"842,135,290,652","761,204,116,128",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,V.9,"755,842,341,280","725,914,518,383",221.0,,,
- Cost,- Cost,- Cost,222,,"1,159,827,214,822","1,092,451,275,649",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(403,984,873,542)","(366,536,757,266)",223.0,,,
2. Intangible fixed assets,2. Intangible fixed assets,2. Intangible fixed assets,227,V.10,"86,292,949,372","35,289,597,745",227.0,,,
- Cost,- Cost,- Cost,228,,"89,775,726,215","38,015,580,874",228.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,229,,"(3,482,776,843)","(2,725,983,129)",229.0,,,
III. Investment properties,III. Investment properties,III. Investment properties,230,V.11,"158,666,666,367","113,155,731,231",230.0,,,
- Cost,- Cost,- Cost,231,,"208,549,462,773","156,733,240,773",231.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,232,,"(49,882,796,406)","(43,577,509,542)",232.0,,,
