row_label_raw,row_label_full,b. Đầu tư vào công ty liên kết,Số cuối năm > Tỷ lệ %,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu VND,Số đầu năm > Tỷ lệ %,Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu VND,numeric__Số cuối năm > Tỷ lệ %,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu VND,numeric__Số đầu năm > Tỷ lệ %,numeric__Số đầu năm > Giá trị theo phương pháp vốn chủ sở hữu VND
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,"35,89",185.758.119.153,"35,89",191.530.754.242,35.89,185758119153.0,35.89,191530754242.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,36,46.834.604.975,36,47.861.737.803,36.0,46834604975.0,36.0,47861737803.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",63.844.532.031,"42,68",59.648.022.462,42.68,63844532031.0,42.68,59648022462.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,"43,35",,"43,35",,43.35,,43.35,
Cộng,Cộng,Cộng,,296.437.256.159,,299.040.514.507,,296437256159.0,,299040514507.0
