row_label_raw,row_label_full,Số dư đầu năm > Lợi nhuận thuần phân bổ cho cổ đông không kiểm soát trong năm,Năm nay VND > 243.805.067.311 > (12.631.627.838),Năm trước VND > 256.724.273.854 > (7.103.871.126),numeric__Năm nay VND > 243.805.067.311 > (12.631.627.838),numeric__Năm trước VND > 256.724.273.854 > (7.103.871.126)
Tăng vốn của cổ đông không kiểm soát,Tăng vốn của cổ đông không kiểm soát,Tăng vốn của cổ đông không kiểm soát,90.031.368.747,250.000.000,90031368747.0,250000000.0
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,42.000.000,-,42000000.0,
Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,Tăng/(giảm) do thay đổi tỷ lệ lợi ích trong năm,(75.807.754.707),(2.314.885),-75807754707.0,-2314885.0
Giảm do giải thể công ty con,Giảm do giải thể công ty con,Giảm do giải thể công ty con,-,(4.634.879.933),,-4634879933.0
Giảm do chia cổ tức bằng tiền,Giảm do chia cổ tức bằng tiền,Giảm do chia cổ tức bằng tiền,-,(989.441.000),,-989441000.0
"Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi","Giảm do trích quỹ khen thưởng, phúc lợi",(76.177.024),(438.699.599),-76177024.0,-438699599.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,245.362.876.489,243.805.067.311,245362876489.0,243805067311.0
