row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Owners' invested capital,Owners' invested capital,Owners' invested capital,Owners' invested capital,Owners' invested capital,,
At the beginning of year,At the beginning of year,At the beginning of year,"6,098,519,950,000","6,098,519,950,000",,
Increase in the year,Increase in the year,Increase in the year,-,-,,
Decrease in the year,Decrease in the year,Decrease in the year,-,-,,
At the end of year,At the end of year,At the end of year,"6,098,519,950,000","6,098,519,950,000",,
Distributed dividends,Distributed dividends,Distributed dividends,-,-,,
