row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"2,864,859,159,683","2,811,009,608,436",,
Deposit for sales of project,Deposit for sales of project,Deposit for sales of project,"2,365,627,002,500","2,191,282,100,000",,
Deposits,Deposits,Deposits,"192,788,593,923","219,503,677,500",,
Profit sharing from BCC,Profit sharing from BCC,Profit sharing from BCC,"136,388,584,457","136,388,584,457",,
Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),"32,308,365,792","74,437,246,897",,
Compensation payables,Compensation payables,Compensation payables,"19,990,483,579","21,634,323,726",,
Payable to Mr. Phan Van Binh,Payable to Mr. Phan Van Binh,Payable to Mr. Phan Van Binh,"16,425,635,609","19,525,635,609",,
Others,Others,Others,"101,330,493,823","148,238,040,247",,
Long-term,Long-term,Long-term,"51,836,344,172","19,746,000,000",,
Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),"19,596,218,672","19,600,000,000",,
Deposits,Deposits,Deposits,"32,240,125,500","146,000,000",,
Total,Total,Total,"2,916,695,503,855","2,830,755,608,436",,
