row_label_raw,row_label_full,col_0,Contributed capital,Share premium,Other owners' capital,Investment and development funds,Profit after tax retained,Unit: VND Total,numeric__Contributed capital,numeric__Share premium,numeric__Other owners' capital,numeric__Investment and development funds,numeric__Profit after tax retained,numeric__Unit: VND Total
Beginning balance of previous year (i),Beginning balance of previous year (i),Beginning balance of previous year (i),"6,098,519,950,000","1,046,337,538,421","10,975,110,000","84,687,037,740","297,491,097,067","7,538,010,733,228",,,,,,
Profit of the previous year,Profit of the previous year,Profit of the previous year,-,-,-,-,"118,727,079,683","118,727,079,683",,,,,,
Transfer to investment and development fund,Transfer to investment and development fund,Transfer to investment and development fund,-,-,-,"63,258,913","(63,258,913)",-,,,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,-,-,-,-,"(6,987,313,072)","(6,987,313,072)",,,,,,
Subsidiaries increase capital by dividend,Subsidiaries increase capital by dividend,Subsidiaries increase capital by dividend,-,-,"3,920,000,000",,"(3,920,000,000)",-,,,,,,
Change in ownership of subsidiaries,Subsidiaries increase capital by dividend > Change in ownership of subsidiaries,Change in ownership of subsidiaries,,,,"539,569","1,775,316","2,314,885",,,,539.569,,
Ending balance of previous year,Ending balance of previous year,Ending balance of previous year,"6,098,519,950,000","1,046,337,538,421","14,895,110,000","84,750,836,222","405,249,380,081","7,649,752,814,724",,,,,,
Profit of the current year,Profit of the current year,Profit of the current year,-,-,-,-,"114,535,926,550","114,535,926,550",,,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,-,-,-,-,"(9,359,048,152)","(9,359,048,152)",,,,,,
Change in ownership of subsidiaries,Change in ownership of subsidiaries,Change in ownership of subsidiaries,-,-,-,-,"41,017,975,505","41,017,975,505",,,,,,
Ending balance of current year,Ending balance of current year,Ending balance of current year,"6,098,519,950,000","1,046,337,538,421","14,895,110,000","84,750,836,222","551,444,233,984","7,795,947,668,627",,,,,,
