row_label_raw,row_label_full,col_0,Số đầu năm VND,Tăng VND,Giảm/(phân bổ chi phí phát hành trái phiếu) VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Tăng VND,numeric__Giảm/(phân bổ chi phí phát hành trái phiếu) VND,numeric__Số cuối năm VND
Ngắn hạn - Trái phiếu phát hành đến hạn trả,Ngắn hạn - Trái phiếu phát hành đến hạn trả,Ngắn hạn - Trái phiếu phát hành đến hạn trả,891.577.418.629,-,891.577.418.629,-,891577418629.0,,891577418629.0,
Trái phiếu thường phát hành năm 2021 (i),Trái phiếu thường phát hành năm 2021 (i),Trái phiếu thường phát hành năm 2021 (i),891.577.418.629,-,891.577.418.629,-,891577418629.0,,891577418629.0,
Giá gốc trái phiếu,Giá gốc trái phiếu,Giá gốc trái phiếu,900.000.000.000,-,900.000.000.000,-,900000000000.0,,900000000000.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(8.422.581.371),-,(8.422.581.371),-,-8422581371.0,,-8422581371.0,
Dài hạn,Dài hạn,Dài hạn,250.499.800.000,1.294.399.800.000,17.633.048.402,1.562.532.648.402,250499800000.0,1294399800000.0,17633048402.0,1562532648402.0
Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),Tiền Trái phiếu đã nhận theo đăng ký phát hành trái phiếu thường năm 2023 (ii),250.499.800.000,1.294.399.800.000,17.633.048.402,1.562.532.648.402,250499800000.0,1294399800000.0,17633048402.0,1562532648402.0
- Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),- Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),- Giá gốc trái phiếu (nhận tiền trong năm 2023) (ii),300.000.000.000,-,-,300.000.000.000,300000000000.0,,,300000000000.0
- Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),- Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),- Giá gốc trái phiếu (nhận tiền trong năm 2024) (ii),,1.300.000.000.000,-,1.300.000.000.000,,1300000000000.0,,1300000000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(49.500.200.000),(5.600.200.000),17.633.048.402,(37.467.351.598),-49500200000.0,-5600200000.0,17633048402.0,-37467351598.0
Cộng,Cộng,Cộng,1.142.077.218.629,1.294.399.800.000,(873.944.370.227),1.562.532.648.402,1142077218629.0,1294399800000.0,-873944370227.0,1562532648402.0
