row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
"Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","401,461,923,851",,,
Customers of Nam Vinh Yen New Urban area Project (i),Customers of Nam Vinh Yen New Urban area Project (i),Customers of Nam Vinh Yen New Urban area Project (i),"268,357,901,964","375,334,566,258",,
Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,"190,650,046,394","250,663,636,221",,
Customers of DIC Star Aparts Hotel Vung Tau-CSJ Project,Customers of DIC Star Aparts Hotel Vung Tau-CSJ Project,Customers of DIC Star Aparts Hotel Vung Tau-CSJ Project,"17,052,263,635","18,505,648,408",,
Customers of Phoenix High-Class Commercial Apartment,Customers of Phoenix High-Class Commercial Apartment,Customers of Phoenix High-Class Commercial Apartment,"13,018,470,066","38,048,550,741",,
"Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","22,850,980,041","22,850,980,041",,
Green Mark Construction Joint Stock Company,Green Mark Construction Joint Stock Company,Green Mark Construction Joint Stock Company,"73,156,638,946","85,893,953,726",,
"Cai Mep Logistics Co., Ltd","Cai Mep Logistics Co., Ltd","Cai Mep Logistics Co., Ltd","25,663,436,805","57,280,867,054",,
Others (ii),Others (ii),Others (ii),"175,944,997,689","188,853,547,252",,
Total,Total,Total,"1,188,156,659,391","1,037,431,749,701",,
In which:,In which:,In which:,In which:,In which:,,
Receivable from third parties (ii),Receivable from third parties (ii),Receivable from third parties (ii),"780,278,166,094","1,031,240,280,255",,
Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),"407,878,493,297","6,191,469,446",,
