row_label_raw,row_label_full,col_0,Land use rights,Computer software,Total,numeric__Land use rights,numeric__Computer software,numeric__Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,
Opening balance,Opening balance,Opening balance,"36,224,171,470","1,791,409,404","38,015,580,874",,,
Purchases,Purchases,Purchases,"50,749,977,341","1,010,168,000","51,760,145,341",,,
Closing balance,Closing balance,Closing balance,"86,974,148,811","2,801,577,404","89,775,726,215",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"1,737,801,165","988,181,964","2,725,983,129",,,
Depreciation,Depreciation,Depreciation,"435,150,936","321,642,778","756,793,714",,,
Closing balance,Closing balance,Closing balance,"2,172,952,101","1,309,824,742","3,482,776,843",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening,Opening,Opening,"34,486,370,305","803,227,440","35,289,597,745",,,
Closing,Closing,Closing,"84,801,196,710","1,491,752,662","86,292,949,372",,,
