row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Total profit before tax,Total profit before tax,Total profit before tax,"158,088,411,944","165,886,101,158",,
At CIT rate of 20%,At CIT rate of 20%,At CIT rate of 20%,"31,617,682,389","33,177,220,232",,
Adjustments:,Adjustments:,Adjustments:,Adjustments:,Adjustments:,,
Allocation of goodwill,Allocation of goodwill,Allocation of goodwill,"3,590,561,442","3,590,561,442",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"17,472,978,966","7,133,101,349",,
Tax loss for which no deferred tax assets was recognised,Tax loss for which no deferred tax assets was recognised,Tax loss for which no deferred tax assets was recognised,"13,108,375,227","5,019,378,032",,
Share of profits/(loss) from associates,Share of profits/(loss) from associates,Share of profits/(loss) from associates,"87,213,750","3,597,120,086",,
Income from dividends,Income from dividends,Income from dividends,"(9,863,194,984)","(54,773,248)",,
Provision for investments,Provision for investments,Provision for investments,"65,389,473","177,389,962",,
CIT surplus from previous years,CIT surplus from previous years,CIT surplus from previous years,"90,751,593","344,050,722",,
Others,Others,Others,"14,355,376","1,278,844,024",,
Corporate income tax expenses (i),Corporate income tax expenses (i),Corporate income tax expenses (i),"56,184,113,232","54,262,892,601",,
Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,Corporate income tax expense recognized in the consolidated income statement,,
Current corporate income tax,Current corporate income tax,Current corporate income tax,"76,029,395,092","52,587,951,582",,
Deferred corporate income tax,Deferred corporate income tax,Deferred corporate income tax,"(19,845,281,860)","1,674,941,019",,
,,,"56,184,113,232","54,262,892,601",,
