row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
"Khách hàng Dự án Block B Pullman, Vũng Tàu","Khách hàng Dự án Block B Pullman, Vũng Tàu","Khách hàng Dự án Block B Pullman, Vũng Tàu",401.461.923.851,-,401461923851.0,
Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên (i),268.357.901.964,375.334.566.258,268357901964.0,375334566258.0
Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,190.650.046.394,250.663.636.221,190650046394.0,250663636221.0
Khách hàng Dự án DIC Star Aparts Hotel VũngTàu-CSJ,Khách hàng Dự án DIC Star Aparts Hotel VũngTàu-CSJ,Khách hàng Dự án DIC Star Aparts Hotel VũngTàu-CSJ,17.052.263.635,18.505.648.408,17052263635.0,18505648408.0
Khách hàng Dự án Khu căn hộ cao cấp DICPhoenix,Khách hàng Dự án Khu căn hộ cao cấp DICPhoenix,Khách hàng Dự án Khu căn hộ cao cấp DICPhoenix,13.018.470.066,38.048.550.741,13018470066.0,38048550741.0
Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Trung tâm Chí Linh - Vũng Tàu,22.850.980.041,22.850.980.041,22850980041.0,22850980041.0
Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,Công ty CP Green Mark Construction,73.156.638.946,85.893.953.726,73156638946.0,85893953726.0
Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,Công ty TNHH Logistics Cái Mép,25.663.436.805,57.280.867.054,25663436805.0,57280867054.0
Các khách hàng khác (ii),Các khách hàng khác (ii),Các khách hàng khác (ii),175.944.997.689,188.853.547.252,175944997689.0,188853547252.0
Cộng,Cộng,Cộng,1.188.156.659.391,1.037.431.749.701,1188156659391.0,1037431749701.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên thứ ba,Trong đó: > Phải thu bên thứ ba,Phải thu bên thứ ba,780.278.166.094,1.031.240.280.255,780278166094.0,1031240280255.0
Phải thu bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải thu bên liên quan (Thuyết minh VIII.2),Phải thu bên liên quan (Thuyết minh VIII.2),407.878.493.297,6.191.469.446,407878493297.0,6191469446.0
