row_label_raw,row_label_full,col_0,"Buildings, structures",Machinery and equipment,Means of transport,Management equipment,Others,Unit: VND Total,"numeric__Buildings, structures",numeric__Machinery and equipment,numeric__Means of transport,numeric__Management equipment,numeric__Others,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,,,,
Opening balance,Opening balance,Opening balance,"644,887,746,938","328,263,172,262","77,856,971,603","20,515,728,775","20,927,656,071","1,092,451,275,649",,,,,,
Purchases,Purchases,Purchases,"1,882,161,072","3,449,160,659","7,341,139,919","207,524,545","88,680,000","12,968,666,195",,,,,,
Construction completed,Construction completed,Construction completed,"114,620,517,946",-,-,-,"2,458,046,186","117,078,564,132",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing","(823,811,768)","(479,106,830)","(7,210,896,150)","(235,307,006)","(278,622,273)","(9,027,744,027)",,,,,,
Reclassify,Reclassify,Reclassify,"(53,520,000,000)",-,-,-,-,"(53,520,000,000)",,,,,,
Other,Other,Other,-,"(58,666,672)",-,"(64,880,455)",-,"(123,547,127)",,,,,,
Closing balance,Closing balance,Closing balance,"707,046,614,188","331,174,559,419","77,987,215,372","20,423,065,859","23,195,759,984","1,159,827,214,822",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"86,787,365,514","216,896,207,681","45,668,347,799","7,617,574,395","9,567,261,877","366,536,757,266",,,,,,
Depreciation,Depreciation,Depreciation,"17,990,292,676","17,778,128,987","6,147,547,191","2,328,355,343","2,484,538,577","46,728,862,774",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing","(823,811,768)","(448,626,013)","(4,090,139,447)","(210,272,139)","(222,622,269)","(5,795,471,636)",,,,,,
Reclassify,Reclassify,Reclassify,"(3,416,170,212)",-,-,-,-,"(3,416,170,212)",,,,,,
Other,Other,Other,-,"(4,888,888)",-,"(64,215,762)",-,"(69,104,650)",,,,,,
Closing balance,Closing balance,Closing balance,"100,537,676,210","234,220,821,767","47,725,755,543","9,671,441,837","11,829,178,185","403,984,873,542",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening,Opening,Opening,"558,100,381,424","111,366,964,581","32,188,623,804","12,898,154,380","11,360,394,194","725,914,518,383",,,,,,
Closing,Closing,Closing,"606,508,937,978","96,953,737,652","30,261,459,829","10,751,624,022","11,366,581,799","755,842,341,280",,,,,,
