row_label_raw,row_label_full,Objects (continued),End of year VND,Interest rate (%/year),Collaterals,numeric__End of year VND,numeric__Interest rate (%/year),numeric__Collaterals
Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch,"91,989,727,867",6.8%-8.1%,"Land use rights and assets on land with an area of 131.1 m2 at plot number 370, map sheet number 40 in area 2, ward 4, Vi Thanh, Hau Giang province; Land use rights and housing assets on land with an area of 100 m2 at plot number 371, map sheet number 40 in area 2, ward 4, Vi Thanh, Hau Giang province; Certificate of land use rights at land plot No. 431, map sheet No. 24, Dai Phuoc commune, Nhon Trach district, Dong Nai province, area 511 m2; Certificate of land use rights at land plot No. 422, map sheet No. 24, Dai Phuoc commune, Nhon Trach district, Dong Nai province with an area of 512 m2. Machinery and equipment under mortgage contract No. 01/2024/600371/BBDG dated July 26, 2024; Right to collect debt for construction and ground leveling signed with DIC Group under mortgage contract No. 01/2023/60037/HDBD and No. 02/2023/60037/HDBD.",,,
Vietnam Bank for Agriculture and Rural Development - Dong Nai Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch > Vietnam Bank for Agriculture and Rural Development - Dong Nai Branch,Vietnam Bank for Agriculture and Rural Development - Dong Nai Branch,"100,000,000,000",8.0%,"- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 296,327,000,000 VND.",,0.8,
Vietnam Bank for Agriculture and Rural Development - Chu Lai Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam - Ba Ria - Vung Tau Branch > Vietnam Bank for Agriculture and Rural Development - Chu Lai Branch,Vietnam Bank for Agriculture and Rural Development - Chu Lai Branch,"39,600,000,000",7.5%,- Machinery and equipment of Brothers DIC Ceramic Joint Stock Company.,,0.75,
Vietnam Joint Stock Commercial Bank for Industry and Trade,Vietnam Joint Stock Commercial Bank for Industry and Trade,Vietnam Joint Stock Commercial Bank for Industry and Trade,"37,575,748,869",8%-9.2%,- Debt collection rights arise from construction contracts using Bank loans.,,,
Total,Total,Total,"620,887,327,488",,,,,
