row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,Ngành nghề kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên Công ty,numeric__Địa chỉ,numeric__Ngành nghề kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT,STT,STT,Tên Công ty,Địa chỉ,Ngành nghề kinh doanh chính,Số cuối năm %,Số đầu năm %,Số cuối năm %,Số đầu năm %,,,,,,,
1.,STT > 1.,1.,Công ty CP Xây dựng DIC Holdings,"Tòa nhà Ruby Tower - số 12, đường 3 tháng 2, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",Xây lắp,"35,89","35,89","35,89","35,89",,,,35.89,35.89,35.89,35.89
2.,STT > 2.,2.,Công ty CP Bất động sản D.I.C,"Số 118 Gateway B, Phường Nguyễn An Ninh, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",Bất động sản,"42,68","42,68","42,68","42,68",,,,42.68,42.68,42.68,42.68
3.,STT > 3.,3.,Công ty CP Đầu tư Phát triển Xây dựng - Bẻ tông,"Số 169 Thùy Vân, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",Sản xuất bê tông,"36,00","36,00","36,00","36,00",,,,36.0,36.0,36.0,36.0
4.,STT > 4.,4.,Công ty CP Đầu tư Phát triển Phương Nam,"Số 15 Thi Sách, Phường Thắng Tam, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",Dịch vụ lưu trú ngắn ngày,"43,35","43,35","43,35","43,35",,,,43.35,43.35,43.35,43.35
