row_label_raw,row_label_full,Current year,Real estate VND,Trading and services VND,Construction VND,Elimination VND,Total VND,numeric__Real estate VND,numeric__Trading and services VND,numeric__Construction VND,numeric__Elimination VND,numeric__Total VND
Segment revenue,Segment revenue,Segment revenue,"559,700,760,470","140,422,748,108","929,971,947,792","(329,096,513,042)","1,300,998,943,328",,,,,
Segment cost,Segment cost,Segment cost,"(375,034,982,365)","(129,783,434,827)","(745,452,253,659)","247,467,098,388","(1,002,803,572,463)",,,,,
Segment results,Segment results,Segment results,"184,665,778,105","10,639,313,281","184,519,694,133","(81,629,414,654)","298,195,370,865",,,,,
Unallocated expense,Unallocated expense,Unallocated expense,,,,,"(223,918,917,585)",,,,,
Finance income,Finance income,Finance income,,,,,"117,144,956,019",,,,,
Finance expenses,Finance expenses,Finance expenses,,,,,"(28,480,620,434)",,,,,
Share in profit of associates,Share in profit of associates,Share in profit of associates,,,,,"(436,068,748)",,,,,
Other income,Other income,Other income,,,,,"20,871,285,186",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(25,287,593,359)",,,,,
Current corporate income tax expenses,Current corporate income tax expenses,Current corporate income tax expenses,,,,,"(76,029,395,092)",,,,,
Deferred corporate income tax expenses,Deferred corporate income tax expenses,Deferred corporate income tax expenses,,,,,"19,845,281,860",,,,,
Profit after tax,Profit after tax,Profit after tax,,,,,"101,904,298,712",,,,,
Non-controlling interest,Non-controlling interest,Non-controlling interest,,,,,"(12,631,627,838)",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"114,535,926,550",,,,,
As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,As at 31 December 2024,,,,,
Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,Assets and liabilities,,,,,
Segment assets,Segment assets,Segment assets,"14,396,931,679,304","50,548,349,963","714,768,079,939","(273,631,043,745)","14,888,617,065,461",,,,,
Unallocated assets,Unallocated assets,Unallocated assets,,,,,"3,650,706,515,715",,,,,
Total assets,Total assets,Total assets,,,,,"18,539,323,581,176",,,,,
Segment liabilities,Segment liabilities,Segment liabilities,"9,313,577,709,872","530,889,895,618","598,600,256,819","(207,238,839,574)","10,235,829,022,735",,,,,
Unallocated liabilities,Unallocated liabilities,Unallocated liabilities,,,,,"262,184,013,325",,,,,
Total liabilities,Total liabilities,Total liabilities,,,,,"10,498,013,036,060",,,,,
