row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),Số cuối nămVND > 2.043.250.406.609,Số đầu nămVND > 1.956.601.160.549,numeric__Số cuối nămVND > 2.043.250.406.609,numeric__Số đầu nămVND > 1.956.601.160.549
Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),Dự án Khu du lịch đô thị sinh thái Đại Phước (i),2.143.362.011.412,1.320.804.599.020,2143362011412.0,1320804599020.0
"Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)","Dự án Khu dân cư phường 4, Hậu Giang (i)",1.039.978.529.413,937.161.739.369,1039978529413.0,937161739369.0
"Dự án Khu du lịch Long Tân, Nhơn Trạch (i)","Dự án Khu du lịch Long Tân, Nhơn Trạch (i)","Dự án Khu du lịch Long Tân, Nhơn Trạch (i)",871.732.745.907,613.162.706.905,871732745907.0,613162706905.0
"Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu","Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu","Dự án Căn hộ Chung cư A2-1, Khu Chí Linh Center, Vũng Tàu",1.041.524.132.662,320.306.504.000,1041524132662.0,320306504000.0
"Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu","Dự án Khu đô thị đường 51B, Vũng Tàu",242.655.411.101,189.765.365.192,242655411101.0,189765365192.0
"Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam","Dự án Khu nhà ở Lam Hạ Center Point, TP. Phù Lý, Hà Nam",233.651.723.504,212.963.356.176,233651723504.0,212963356176.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,148.566.620.900,358.269.706.145,148566620900.0,358269706145.0
Dự án Điểm du lịch sinh thái Hồ Ba Hang,Dự án Điểm du lịch sinh thái Hồ Ba Hang,Dự án Điểm du lịch sinh thái Hồ Ba Hang,-,61.978.026.684,,61978026684.0
"Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch","Dự án Khu dân cư Hiệp Phước, Nhơn Trạch",47.606.726.039,46.836.724.910,47606726039.0,46836724910.0
"Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu","Dự án Block B Pullman, Vũng Tàu",-,278.308.171.361,,278308171361.0
Các dự án khác,Các dự án khác,Các dự án khác,70.047.705.020,48.566.048.398,70047705020.0,48566048398.0
Cộng,Cộng,Cộng,7.882.376.012.567,6.344.724.108.709,7882376012567.0,6344724108709.0
