row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,36.224.171.470,1.791.409.404,38.015.580.874,36224171470.0,1791409404.0,38015580874.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,50.749.977.341,1.010.168.000,51.760.145.341,50749977341.0,1010168000.0,51760145341.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,86.974.148.811,2.801.577.404,89.775.726.215,86974148811.0,2801577404.0,89775726215.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.737.801.165,988.181.964,2.725.983.129,1737801165.0,988181964.0,2725983129.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,435.150.936,321.642.778,756.793.714,435150936.0,321642778.0,756793714.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.172.952.101,1.309.824.742,3.482.776.843,2172952101.0,1309824742.0,3482776843.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,34.486.370.305,803.227.440,35.289.597.745,34486370305.0,803227440.0,35289597745.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,84.801.196.710,1.491.752.662,86.292.949.372,84801196710.0,1491752662.0,86292949372.0
