row_label_raw,row_label_full,Item,Code,Note,Current year,Previous year,numeric__Code,numeric__Note,numeric__Current year,numeric__Previous year
1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,01,VI.1,"1,531,489,886,037","1,039,100,785,050",1.0,,,
2. Deductible items,2. Deductible items,2. Deductible items,02,VI.2,"230,490,942,709","13,354,083,325",2.0,,,
3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,10,VI.3,"1,300,998,943,328","1,025,746,701,725",10.0,,,
4. Cost of goods sold,4. Cost of goods sold,4. Cost of goods sold,11,VI.4,"1,002,803,572,463","782,177,229,183",11.0,,,
5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,20,,"298,195,370,865","243,569,472,542",20.0,,,
6. Revenue from financial activities,6. Revenue from financial activities,6. Revenue from financial activities,21,VI.5,"117,144,956,019","227,609,195,429",21.0,,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,VI.6,"28,480,620,434","118,446,839,583",22.0,,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"47,361,629,699","97,694,058,059",23.0,,,
8. Share in profits of associates,8. Share in profits of associates,8. Share in profits of associates,24,V.2,"(436,068,748)","(17,985,600,430)",24.0,,,
9. Selling expenses,9. Selling expenses,9. Selling expenses,25,VI.7,"43,616,009,912","42,315,124,804",25.0,,,
10. Administrative expenses,10. Administrative expenses,10. Administrative expenses,26,VI.8,"180,302,907,673","153,551,923,652",26.0,,,
11. Net profit from operating activities,11. Net profit from operating activities,11. Net profit from operating activities,30,,"162,504,720,117","138,879,179,502",30.0,,,
12. Other income,12. Other income,12. Other income,31,VI.9,"20,871,285,186","83,469,205,680",31.0,,,
13. Other expenses,13. Other expenses,13. Other expenses,32,VI.10,"25,287,593,359","56,462,284,024",32.0,,,
14. Other profit,14. Other profit,14. Other profit,40,,"(4,416,308,173)","27,006,921,656",40.0,,,
15. Total profit before tax,15. Total profit before tax,15. Total profit before tax,50,,"158,088,411,944","165,886,101,158",50.0,,,
16. Current corporate income tax expenses,16. Current corporate income tax expenses,16. Current corporate income tax expenses,51,VI.11,"76,029,395,092","52,587,951,582",51.0,,,
17. Deferred corporate income tax expenses,17. Deferred corporate income tax expenses,17. Deferred corporate income tax expenses,52,VI.11,"(19,845,281,860)","1,674,941,019",52.0,,,
18. Profit after tax,18. Profit after tax,18. Profit after tax,60,,"101,904,298,712","111,623,208,557",60.0,,,
19. Net profit after tax attributable to parent,19. Net profit after tax attributable to parent,19. Net profit after tax attributable to parent,61,,"114,535,926,550","118,727,079,683",61.0,,,
20. Net profit after tax of non-controlling interest,20. Net profit after tax of non-controlling interest,20. Net profit after tax of non-controlling interest,62,,"(12,631,627,838)","(7,103,871,126)",62.0,,,
21. Earnings per Share,21. Earnings per Share,21. Earnings per Share,70,VI.12,188,195,70.0,,188.0,195.0
