row_label_raw,row_label_full,col_0,Beginning of year,Payable,Paid,End of year,numeric__Beginning of year,numeric__Payable,numeric__Paid,numeric__End of year
,,,VND,VND,VND,VND,,,,
Payables,Payables,Payables,"89,687,447,699","204,864,904,608","197,203,365,542","97,348,986,765",,,,
Value added tax,Value added tax,Value added tax,"6,399,096,274","62,436,295,390","49,860,253,449","18,975,138,215",,,,
Special sales tax,Special sales tax,Special sales tax,"21,033,334","356,585,162","333,589,404","44,029,092",,,,
"Import, export tax","Import, export tax","Import, export tax",-,"54,072,500","54,072,500",-,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"23,610,827,931","76,029,395,092","56,375,408,937","43,264,814,086",,,,
Personal income tax,Personal income tax,Personal income tax,"476,089,891","8,157,938,467","8,146,369,570","487,658,788",,,,
Resource tax,Resource tax,Resource tax,"9,413,674","129,208,378","128,465,451","10,156,601",,,,
Land tax,Land tax,Land tax,"49,163,883,132","16,688,009,290","34,768,322,122","31,083,570,300",,,,
Other tax,Other tax,Other tax,"10,007,103,463","40,203,839,641","47,234,322,555","2,976,620,549",,,,
Others,Others,Others,-,"809,560,688","302,561,554","506,999,134",,,,
Receivables,Receivables,Receivables,"17,455,113,708",-,"7,607,560,006","25,062,673,714",,,,
Value added tax,Value added tax,Value added tax,-,-,"122,134,503","122,134,503",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"17,415,050,462",-,"7,416,871,436","24,831,921,898",,,,
Personal income tax,Corporate income tax > Personal income tax,Personal income tax,"10,777",-,-,"10,777",10.777,,,10.777
Other tax,Other tax,Other tax,"40,052,469",-,"68,554,067","108,606,536",,,,
