row_label_raw,row_label_full,Số dư đầu năm,Năm nay VND > 127.234.572.465,Năm trước VND > 145.187.379.673,numeric__Năm nay VND > 127.234.572.465,numeric__Năm trước VND > 145.187.379.673
Điều chỉnh tăng do thay đổi tỷ lệ,Điều chỉnh tăng do thay đổi tỷ lệ,Điều chỉnh tăng do thay đổi tỷ lệ,3.430.659.158,-,3430659158.0,
sở hữu công ty con,sở hữu công ty con,sở hữu công ty con,,,,
Phân bổ trong năm,sở hữu công ty con > Phân bổ trong năm,Phân bổ trong năm,(17.952.807.208),(17.952.807.208),-17952807208.0,-17952807208.0
Số dư cuối năm,sở hữu công ty con > Số dư cuối năm,Số dư cuối năm,112.712.424.415,127.234.572.465,112712424415.0,127234572465.0
