row_label_raw,row_label_full,col_0,Beginning of year VND,Increase VND,Decrease/(allocating bond issuance costs) VND,End of year VND,numeric__Beginning of year VND,numeric__Increase VND,numeric__Decrease/(allocating bond issuance costs) VND,numeric__End of year VND
Short-term - Common Bonds to maturity,Short-term - Common Bonds to maturity,Short-term - Common Bonds to maturity,"891,577,418,629",-,"891,577,418,629",-,,,,
Bonds issued in year 2021 (i),Bonds issued in year 2021 (i),Bonds issued in year 2021 (i),"891,577,418,629",-,"891,577,418,629",-,,,,
Common bonds,Common bonds,Common bonds,"900,000,000,000",-,"900,000,000,000",-,,,,
Bonds issuance costs,Bonds issuance costs,Bonds issuance costs,"(8,422,581,371)",-,"(8,422,581,371)",-,,,,
Long-term,Long-term,Long-term,"250,499,800,000","1,294,399,800,000","17,633,048,402","1,562,532,648,402",,,,
Bond received according to common bonds issuance registration in year 2023 (ii),Bond received according to common bonds issuance registration in year 2023 (ii),Bond received according to common bonds issuance registration in year 2023 (ii),"250,499,800,000","1,294,399,800,000","17,633,048,402","1,562,532,648,402",,,,
Principal bond value (received in year 2023) (ii),Principal bond value (received in year 2023) (ii),Principal bond value (received in year 2023) (ii),"300,000,000,000",-,-,"300,000,000,000",,,,
Principal bond value (received in year 2024) (ii),Principal bond value (received in year 2024) (ii),Principal bond value (received in year 2024) (ii),,"1,300,000,000,000",-,"1,300,000,000,000",,,,
Bonds issuance costs,Bonds issuance costs,Bonds issuance costs,"(49,500,200,000)","(5,600,200,000)","17,633,048,402","(37,467,351,598)",,,,
Total,Total,Total,"1,142,077,218,629","1,294,399,800,000","(873,944,370,227)","1,562,532,648,402",,,,
