row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,,344.952.105.698,2.593.431.485,,344952105698.0,2593431485.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Xây dựng,342.022.817.271,42.900.000,,342022817271.0,42900000.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Cung cấp dịch vụ,2.483.685.900,2.477.108.200,,2483685900.0,2477108200.0
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Cung cấp dịch vụ,365.022.140,20.777.000,,365022140.0,20777000.0
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cung cấp dịch vụ,25.077.425,52.646.285,,25077425.0,52646285.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Cung cấp dịch vụ,55.502.962,-,,55502962.0,
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí môi giới,28.516.455.736,19.315.314.209,,28516455736.0,19315314209.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Chi phí dịch vụ,25.017.545.862,312.806.482,,25017545862.0,312806482.0
Công ty CP Bất động sản D.I.C,Các hoạt động khác > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cổ tức cổ phiếu,-,4.282.200.000,,,4282200000.0
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Chi phí xây dựng,721.189.211.485,-,,721189211485.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Cổ tức cổ phiếu,18.841.340.000,-,,18841340000.0,
Công ty CP Xây dựng DIC Holdings,Các hoạt động khác > Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Nhận chuyển,-,263.545.000.000,,,263545000000.0
Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,Công ty CP Xây dựng DIC Holdings,nhượng dự án,,,,,
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Chi phí dịch vụ,2.528.112.834,1.304.729.340,,2528112834.0,1304729340.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Lãi cho vay,34.226.563.974,22.079.501.781,,34226563974.0,22079501781.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Cho vay,82.000.000.000,-,,82000000000.0,
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Thu gốc vay,36.350.000.000,1.080.000.000,,36350000000.0,1080000000.0
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Cổ tức bằng tiền,2.167.189.600,-,,2167189600.0,
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Xây dựng DIC Holdings > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,Cổ tức bằng tiền,22.500.000,9.000.000,,22500000.0,9000000.0
