row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,644.887.746.938,328.263.172.262,77.856.971.603,20.515.728.775,20.927.656.071,1.092.451.275.649,644887746938.0,328263172262.0,77856971603.0,20515728775.0,20927656071.0,1092451275649.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.882.161.072,3.449.160.659,7.341.139.919,207.524.545,88.680.000,12.968.666.195,1882161072.0,3449160659.0,7341139919.0,207524545.0,88680000.0,12968666195.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,114.620.517.946,-,-,-,2.458.046.186,117.078.564.132,114620517946.0,,,,2458046186.0,117078564132.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(823.811.768),(479.106.830),(7.210.896.150),(235.307.006),(278.622.273),(9.027.744.027),-823811768.0,-479106830.0,-7210896150.0,-235307006.0,-278622273.0,-9027744027.0
Giảm do phân loại lại,Nguyên giá > Giảm do phân loại lại,Giảm do phân loại lại,(53.520.000.000),-,-,-,-,(53.520.000.000),-53520000000.0,,,,,-53520000000.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(58.666.672),-,(64.880.455),-,(123.547.127),,-58666672.0,,-64880455.0,,-123547127.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,707.046.614.188,331.174.559.419,77.987.215.372,20.423.065.859,23.195.759.984,1.159.827.214.822,707046614188.0,331174559419.0,77987215372.0,20423065859.0,23195759984.0,1159827214822.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,86.787.365.514,216.896.207.681,45.668.347.799,7.617.574.395,9.567.261.877,366.536.757.266,86787365514.0,216896207681.0,45668347799.0,7617574395.0,9567261877.0,366536757266.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,17.990.292.676,17.778.128.987,6.147.547.191,2.328.355.343,2.484.538.577,46.728.862.774,17990292676.0,17778128987.0,6147547191.0,2328355343.0,2484538577.0,46728862774.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(823.811.768),(448.626.013),(4.090.139.447),(210.272.139),(222.622.269),(5.795.471.636),-823811768.0,-448626013.0,-4090139447.0,-210272139.0,-222622269.0,-5795471636.0
Giảm do phân loại lại,Giá trị hao mòn luỹ kế > Giảm do phân loại lại,Giảm do phân loại lại,(3.416.170.212),-,-,-,-,(3.416.170.212),-3416170212.0,,,,,-3416170212.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(4.888.888),-,(64.215.762),-,(69.104.650),,-4888888.0,,-64215762.0,,-69104650.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,100.537.676.210,234.220.821.767,47.725.755.543,9.671.441.837,11.829.178.185,403.984.873.542,100537676210.0,234220821767.0,47725755543.0,9671441837.0,11829178185.0,403984873542.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,558.100.381.424,111.366.964.581,32.188.623.804,12.898.154.380,11.360.394.194,725.914.518.383,558100381424.0,111366964581.0,32188623804.0,12898154380.0,11360394194.0,725914518383.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,606.508.937.978,96.953.737.652,30.261.459.829,10.751.624.022,11.366.581.799,755.842.341.280,606508937978.0,96953737652.0,30261459829.0,10751624022.0,11366581799.0,755842341280.0
