row_label_raw,row_label_full,col_0,End of yearVND,Beginning of yearVND,numeric__End of yearVND,numeric__Beginning of yearVND
Short-term,Short-term,Short-term,"169,357,579,307","186,173,087,708",,
Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,Brokerage expenses of projects are allocated according to real estate revenue,"163,122,006,050","158,006,054,749",,
Tools and supplies,Tools and supplies,Tools and supplies,"5,170,761,281","10,056,763,984",,
Others,Others,Others,"1,064,811,976","18,110,268,975",,
Long-term,Long-term,Long-term,"36,470,053,146","16,684,171,249",,
Tools and supplies,Tools and supplies,Tools and supplies,"14,551,099,241","11,368,464,768",,
Land use fee,Land use fee,Land use fee,"17,425,580,800",-,,
Maintenance expenses,Maintenance expenses,Maintenance expenses,"921,642,813","1,992,551,286",,
Others,Others,Others,"3,571,730,292","3,323,155,195",,
Total,Total,Total,"205,827,632,453","202,857,258,957",,
