row_label_raw,row_label_full,Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued),Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_1,Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_2,Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_3,Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_4,Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_5,numeric__Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_1,numeric__Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_2,numeric__Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_3,numeric__Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_4,numeric__Notes TO THE CONSOLIDATED FINANCIAL STATEMENTS (continued)_5
Objects(continued),Objects(continued),Objects(continued),End of yearVND,Classified intoshort-term debtVND,Principalrepaymentterm,Interestrate(%/year),Collaterals,,,,,
Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,Objects(continued) > Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,"259,769,061,217","259,769,061,217",To 01December2025,8%,"- Rights of assets from 834,644.6 m2 at Vi Thanh Residential Project, Ward 4, Vi Thanh City, Hau Giang Province; 9 plots of land in Vi Thanh Commercial Residential Area Project, Hau Giang province; 1,137 land plots in Vi Thanh Residential Project, Hau Giang Province.- Land use right certificate No. 949046 issued by the Department of Natural Resources and Environment of Ba Ria - Vung Tau province on July 11, 2019. Land plot No. 57, map sheet No. 38 in Ward 8, Vung Tau City, area 336.8 m2..",,,,0.08,
Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,Objects(continued) > Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,Joint stockCommercial Bankfor Investment &Development ofVietnam - Ba Ria-Vung TauBranch,"20,930,000,000",-,To August2029,7.5%,"- Rights of assets from 834,644.6 m2 at Vi Thanh Residential Project, Ward 4, Vi Thanh City, Hau Giang Province; 9 plots of land in Vi Thanh Commercial Residential Area Project, Hau Giang province; 1,137 land plots in Vi Thanh Residential Project, Hau Giang Province.- Land use right certificate No. 949046 issued by the Department of Natural Resources and Environment of Ba Ria - Vung Tau province on July 11, 2019. Land plot No. 57, map sheet No. 38 in Ward 8, Vung Tau City, area 336.8 m2..",,,,0.75,
Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,"332,835,753,678","274,268,604,000",To 16 March2026,10.5%-11%,"- All assets and rights of assets arising from the Technical Infrastructure project of North Vung Tau New Urban Area (area 19.6 ha) in ward 12, Vung Tau city, The right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City- Land use rights and assets attached to the land of plot numbers 221+222+223+224; 94; 95 on cadastral map sheet number 38 45 in Thang Nhat Ward, Vung Tau City, Ba Ria - Vung Tau Province; According to the Certificate of Land Use Rights, Ownership of Houses and Other Assets Attached to Land number BN 981921, registration number: CT 05386 issued by the Department of Natural Resources and Environment of Ba Ria - Vung Tau Province on May 20, 2014, owned and used by the Development Investment Construction Joint Stock Company.",,,,,
Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch,"500,000,000,000","20,000,000,000",To 31December2039,9.7%-10.5%,"All benefits, payment claims, debt claims, compensation for damages, profits, and profits that Phuong Nam Investment and Development Joint Stock Company obtains from the exploitation and use of 25,221.8 m2 of commercial service land used until September 11, 2057, land leased with annual payment at land plot No. 1, map sheet No. 65, Thang Tam ward, Vung Tau city. Ownership of construction works at land plot No. 1, map sheet No. 65, Thang Tam ward, Vung Tau city. Property rights arising from the Contract for leasing construction works on land attached to land No. 04/HDTCTXD. DICPN-DICDL dated December 10, 2024.",,,,,
Tien PhongCommercial JointStock Bank,Saigon ThuongTin CommercialJoint Stock Bank-Ba Ria - VungTau Branch > Tien PhongCommercial JointStock Bank,Tien PhongCommercial JointStock Bank,"325,499,989","62,000,004",To 31 March2030,10%,- Mitsubishi car 92A-280.63,,,,0.1,
