row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày mua VND,numeric__Giá trị hợp lý ghi nhận tại ngày mua VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.266.610,1266610.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,759.042.828.390,759042828390.0
,,,759.044.095.000,759044095000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,2.095.000,2095000.0
,,,2.095.000,2095000.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,759.042.000.000,759042000000.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,-,
Lợi ích cổ đông không kiểm soát,Lợi thế thương mại > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,42.000.000,42000000.0
Tổng giá phí,Lợi thế thương mại > Tổng giá phí,Tổng giá phí,759.000.000.000,759000000000.0
Khoản tiền thu được,Lợi thế thương mại > Khoản tiền thu được,Khoản tiền thu được,1.266.610,1266610.0
Tiền thuần chi ra,Lợi thế thương mại > Tiền thuần chi ra,Tiền thuần chi ra,758.998.733.390,758998733390.0
