row_label_raw,row_label_full,Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên,Số cuối nămVND > 1.224.531.014.134,Số đầu nămVND > 1.105.473.171.695,numeric__Số cuối nămVND > 1.224.531.014.134,numeric__Số đầu nămVND > 1.105.473.171.695
"Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí Linh Center, Vũng Tàu","Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí Linh Center, Vũng Tàu","Khách hàng Dự án Căn hộ Chung cư A2-1 Khu Chí Linh Center, Vũng Tàu",843.390.510.337,172.454.594.804,843390510337.0,172454594804.0
"Khách hàng Dự án khu dân cư Thương mại Vị Thanh, Hậu Giang","Khách hàng Dự án khu dân cư Thương mại Vị Thanh, Hậu Giang","Khách hàng Dự án khu dân cư Thương mại Vị Thanh, Hậu Giang",129.288.849.766,150.177.830.024,129288849766.0,150177830024.0
Khách hàng Dự án Khu phức hợp Cap Saint Jacques,Khách hàng Dự án Khu phức hợp Cap Saint Jacques,Khách hàng Dự án Khu phức hợp Cap Saint Jacques,35.299.528.472,59.838.627.355,35299528472.0,59838627355.0
"Khách hàng Dự án Khu trung tâm Chí Linh, Vũng Tàu","Khách hàng Dự án Khu trung tâm Chí Linh, Vũng Tàu","Khách hàng Dự án Khu trung tâm Chí Linh, Vũng Tàu",57.792.277.689,57.792.277.689,57792277689.0,57792277689.0
Khách hàng Dự án du lịch Đô thị Sinh thái Đại Phước,Khách hàng Dự án du lịch Đô thị Sinh thái Đại Phước,Khách hàng Dự án du lịch Đô thị Sinh thái Đại Phước,49.315.242.992,87.832.426.940,49315242992.0,87832426940.0
Khách hàng Dự án Khu dân cư Hiệp Phước,Khách hàng Dự án Khu dân cư Hiệp Phước,Khách hàng Dự án Khu dân cư Hiệp Phước,31.334.403.113,36.428.912.066,31334403113.0,36428912066.0
Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,Khách hàng Dự án Chung cư Vũng Tàu Gateway,7.407.651.352,17.029.680.233,7407651352.0,17029680233.0
Khách hàng các dự án khác,Khách hàng các dự án khác,Khách hàng các dự án khác,47.794.039.294,77.873.996.944,47794039294.0,77873996944.0
Cộng,Cộng,Cộng,2.426.153.517.149,1.764.901.517.750,2426153517149.0,1764901517750.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Trong đó: > Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),770.069.340.631,172.454.594.804,770069340631.0,172454594804.0
