row_label_raw,row_label_full,col_0,End of yearVND,Beginning of yearVND,numeric__End of yearVND,numeric__Beginning of yearVND
Third parties,Third parties,Third parties,"29,390,434,469","26,706,598,876",,
Related parties (Note VIII.2),Related parties (Note VIII.2),Related parties (Note VIII.2),-,"186,499,974,132",,
Total,Total,Total,"29,390,434,469","213,206,573,008",,
