row_label_raw,row_label_full,Related parties,Transaction content,Current year VND,Previous year VND,numeric__Transaction content,numeric__Current year VND,numeric__Previous year VND
Doanh thu,Doanh thu,Doanh thu,,"344,952,105,698","2,593,431,485",,,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Construction activities,"342,022,817,271","42,900,000",,,
Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Rendering of services,"2,483,685,900","2,477,108,200",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Rendering of services,"365,022,140","20,777,000",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Rendering of services,"25,077,425","52,646,285",,,
Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,Rendering of services,"55,502,962",-,,,
Other activities,Other activities,Other activities,Other activities,Other activities,Other activities,,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Brokerage costs,"28,516,455,736","19,315,314,209",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Services expenses,"25,017,545,862","312,806,482",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Stock dividends,-,"4,282,200,000",,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Construction cost,"721,189,211,485",-,,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Stock dividends,"18,841,340,000",-,,,
DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,DIC Holdings Construction Joint Stock Company,Transfer of project,-,"263,545,000,000",,,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Services expenses,"2,528,112,834","1,304,729,340",,,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Loan interest,"34,226,563,974","22,079,501,781",,,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Lending,"82,000,000,000",-,,,
Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Southern Development And Investment Joint Stock Company,Collect loan principal,"36,350,000,000","1,080,000,000",,,
Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,Cash dividends,"2,167,189,600",-,,,
Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,Cash dividends,"22,500,000","9,000,000",,,
