row_label_raw,row_label_full,col_0,D.I.C Real Estate Joint Stock Company,Development Investment Construction - Concrete Joint Stock Company,DIC Holdings Construction Joint Stock Company,Southern Development And Investment Joint Stock Company,Total,numeric__D.I.C Real Estate Joint Stock Company,numeric__Development Investment Construction - Concrete Joint Stock Company,numeric__DIC Holdings Construction Joint Stock Company,numeric__Southern Development And Investment Joint Stock Company,numeric__Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,,,
Beginning of year,Beginning of year,Beginning of year,"19,938,000,000","30,582,504,000","171,602,184,500","225,400,000,000","447,522,688,500",,,,,
Increase in the year,Increase in the year,Increase in the year,-,-,-,-,-,,,,,
Liquidation in the year,Liquidation in the year,Liquidation in the year,-,-,-,-,-,,,,,
End of year,End of year,End of year,"19,938,000,000","30,582,504,000","171,602,184,500","225,400,000,000","447,522,688,500",,,,,
Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,Accumulated profit after investment,,,,,
Beginning of year,Beginning of year,Beginning of year,"39,710,022,462","17,279,233,803","19,928,569,742","(225,400,000,000)","(148,482,173,993)",,,,,
Shared (loss)/profit,Shared (loss)/profit,Shared (loss)/profit,"4,196,509,569","1,140,056,772","(5,772,635,089)",-,"(436,068,748)",,,,,
Dividends,Dividends,Dividends,-,"(2,167,189,600)",-,-,"(2,167,189,600)",,,,,
End of year,End of year,End of year,"43,906,532,031","16,252,100,975","14,155,934,653","(225,400,000,000)","(151,085,432,341)",,,,,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,,,,
Beginning of year,Beginning of year,Beginning of year,"59,648,022,462","47,861,737,803","191,530,754,242",-,"299,040,514,507",,,,,
End of year,End of year,End of year,"63,844,532,031","46,834,604,975","185,758,119,153",-,"296,437,256,159",,,,,
c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,c. Investments in other entities,,,,,
,,,End of year,End of year,End of year,Beginning of year,Beginning of year,,,,,
,,,%,Original cost VND,Provision VND,%,Original cost VND,,,,,
Phu Rieng-Kratie Rubber Joint Stock Company,c. Investments in other entities > Phu Rieng-Kratie Rubber Joint Stock Company,Phu Rieng-Kratie Rubber Joint Stock Company,-,-,-,"5,00","20,000,000,000",,,,5.0,
Vina Dai Phuoc Corporation,c. Investments in other entities > Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,0.1,"1,610,000,000",-,"0,1","1,610,000,000",1.0,,,0.1,
Others,Others,Others,,"734,249,112","(64,963,380)",,"734,249,112",,,,,
Total,Total,Total,,"2,344,249,112","(64,963,380)",,"22,344,249,112",,,,,
