row_label_raw,row_label_full,ASSETS,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
C. LIABILITIES,C. LIABILITIES,C. LIABILITIES,300,,"10,498,013,036,060","8,934,049,056,553",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"7,961,859,074,539","7,807,921,730,527",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,V.15,"510,566,784,339","544,872,135,842",311.0,,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,V.16,"2,426,153,517,149","1,764,901,517,750",312.0,,,
3. Statutory obligations,3. Statutory obligations,3. Statutory obligations,313,V.17,"97,348,986,765","89,687,447,699",313.0,,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"34,102,128,672","30,552,374,157",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,V.18,"346,731,546,456","305,980,318,441",315.0,,,
6. Short-term unearned revenues,6. Short-term unearned revenues,6. Short-term unearned revenues,318,V.19,"56,562,684,930","56,650,067,008",318.0,,,
7. Other short-term payables,7. Other short-term payables,7. Other short-term payables,319,V.21,"2,864,859,159,683","2,811,009,608,436",319.0,,,
8. Short-term loan and finance lease,8. Short-term loan and finance lease,8. Short-term loan and finance lease,320,V.23,"1,572,638,801,780","2,150,271,176,748",320.0,,,
9. Short-term provisions,9. Short-term provisions,9. Short-term provisions,321,V.20,"3,707,743,661","536,102,139",321.0,,,
10. Reward and welfare funds,10. Reward and welfare funds,10. Reward and welfare funds,322,,"49,187,721,104","53,460,982,307",322.0,,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"2,536,153,961,521","1,126,127,326,026",330.0,,,
1. Long-term unearned revenues,1. Long-term unearned revenues,1. Long-term unearned revenues,336,V.19,"181,411,119,784","114,442,807,380",336.0,,,
2. Other long-term payables,2. Other long-term payables,2. Other long-term payables,337,V.21,"51,836,344,172","19,746,000,000",337.0,,,
3. Long-term loan and finance lease,3. Long-term loan and finance lease,3. Long-term loan and finance lease,338,V.23,"2,276,905,408,614","961,364,389,681",338.0,,,
4. Deferred tax liabilities,4. Deferred tax liabilities,4. Deferred tax liabilities,341,"V.22,VI.11","23,230,853,263","27,586,977,645",341.0,,,
5. Long-term provisions,5. Long-term provisions,5. Long-term provisions,342,V.20,"2,770,235,688","2,987,151,320",342.0,,,
D. OWNERS' EQUITY,D. OWNERS' EQUITY,D. OWNERS' EQUITY,400,,"8,041,310,545,116","7,893,557,882,035",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,,"8,041,310,545,116","7,893,557,882,035",410.0,,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,V.24,"6,098,519,950,000","6,098,519,950,000",411.0,,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"6,098,519,950,000","6,098,519,950,000",,,,
- Preference shares,- Preference shares,- Preference shares,411b,,-,-,,,,
2. Share premium,- Preference shares > 2. Share premium,2. Share premium,412,V.24,"1,046,337,538,421","1,046,337,538,421",412.0,,,
3. Other owners' capital,- Preference shares > 3. Other owners' capital,3. Other owners' capital,414,V.24,"14,895,110,000","14,895,110,000",414.0,,,
4. Investment and development fund,- Preference shares > 4. Investment and development fund,4. Investment and development fund,418,V.24,"84,750,836,222","84,750,836,222",418.0,,,
5. Retained earnings,- Preference shares > 5. Retained earnings,5. Retained earnings,421,V.24,"551,444,233,984","405,249,380,081",421.0,,,
- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,421a,,"436,908,307,434","286,522,300,398",,,,
- Retained earnings of current period,- Retained earnings of current period,- Retained earnings of current period,421b,,"114,535,926,550","118,727,079,683",,,,
6. Non-controlling interests,- Retained earnings of current period > 6. Non-controlling interests,6. Non-controlling interests,429,V.25,"245,362,876,489","243,805,067,311",429.0,,,
TOTAL RESOURCE,- Retained earnings of current period > TOTAL RESOURCE,TOTAL RESOURCE,440,,"18,539,323,581,176","16,827,606,938,588",440.0,,,
