row_label_raw,row_label_full,Loan and finance lease,Loan and finance lease_1,Loan and finance lease_2,Loan and finance lease_3,Loan and finance lease_4,Loan and finance lease_5,numeric__Loan and finance lease_1,numeric__Loan and finance lease_2,numeric__Loan and finance lease_3,numeric__Loan and finance lease_4,numeric__Loan and finance lease_5
,,,,Beginning of year VND,Increase VND,Decrease VND,End of year VND,,,,,
Short-term loan – Third parties,Short-term loan – Third parties,Short-term loan – Third parties,Short-term loan – Third parties,"2,150,271,176,748","1,494,608,709,452","2,072,241,084,420","1,572,638,801,780",,,,,
Loans from banks (Note 23.1),Loans from banks (Note 23.1),Loans from banks (Note 23.1),Loans from banks (Note 23.1),"546,178,421,044","848,784,962,231","774,076,055,787","620,887,327,488",,,,,
Current portion of long-term loans (Note 23.2),Current portion of long-term loans (Note 23.2),Current portion of long-term loans (Note 23.2),Current portion of long-term loans (Note 23.2),"697,667,537,075","616,304,947,221","376,059,810,004","937,912,674,292",,,,,
Current portion of bonds (Note 23.3),Current portion of bonds (Note 23.3),Current portion of bonds (Note 23.3),Current portion of bonds (Note 23.3),"891,577,418,629",-,"891,577,418,629",-,,,,,
Third parties,Third parties,Third parties,Third parties,"14,847,800,000","29,518,800,000","30,527,800,000","13,838,800,000",,,,,
Long-term loan – Third parties,Long-term loan – Third parties,Long-term loan – Third parties,Long-term loan – Third parties,"961,364,389,681","2,058,307,753,752","742,766,734,819","2,276,905,408,614",,,,,
Loans from banks (Note 23.2),Loans from banks (Note 23.2),Loans from banks (Note 23.2),Loans from banks (Note 23.2),"699,773,989,681","760,607,953,752","757,832,383,221","702,549,560,212",,,,,
Bonds (Note 23.3),Bonds (Note 23.3),Bonds (Note 23.3),Bonds (Note 23.3),"250,499,800,000","1,294,399,800,000","(17,633,048,402)","1,562,532,648,402",,,,,
Third parties,Third parties,Third parties,Third parties,"11,090,600,000","3,300,000,000","2,567,400,000","11,823,200,000",,,,,
Total,Total,Total,Total,"3,111,635,566,429","3,552,916,463,204","2,815,007,819,239","3,849,544,210,394",,,,,
23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,23.1. Details of short-term bank loans are as follows:,,,,,
Objects,Objects,Objects,End of year VND,Interest rate (%/year),Collaterals,Collaterals,Collaterals,,,,,
Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,"258,726,983,381",5.5%-8.7%,"- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.","- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.","- Land use rights for business purpose at Ward 5, Vung Tau City; asset on land at Tien Sa Villa; Office at 265 Le Hong Phong, Vung Tau City.",,,,,
Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch > Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,"92,994,867,371",7.2%,"- Certificate of land use rights and assets on land at address No. 5, Chi Linh Urban Area, Thang Nhat Ward, Vung Tau City; Certificate of land use rights and assets on land at the company warehouse in Tan Hai commune, Ba Ria - Vung Tau; Deposit contract, Sunward ZYJ 860 hydraulic pile press; Camry ASV70L 2.5-2020 car; Toyota Hilux GUN135L-DTTSXU pickup truck; Elimak SC45/30 FC II hoist; Tower crane QTP6515-10T-022. Term deposit contracts at the bank.","- Certificate of land use rights and assets on land at address No. 5, Chi Linh Urban Area, Thang Nhat Ward, Vung Tau City; Certificate of land use rights and assets on land at the company warehouse in Tan Hai commune, Ba Ria - Vung Tau; Deposit contract, Sunward ZYJ 860 hydraulic pile press; Camry ASV70L 2.5-2020 car; Toyota Hilux GUN135L-DTTSXU pickup truck; Elimak SC45/30 FC II hoist; Tower crane QTP6515-10T-022. Term deposit contracts at the bank.","- Certificate of land use rights and assets on land at address No. 5, Chi Linh Urban Area, Thang Nhat Ward, Vung Tau City; Certificate of land use rights and assets on land at the company warehouse in Tan Hai commune, Ba Ria - Vung Tau; Deposit contract, Sunward ZYJ 860 hydraulic pile press; Camry ASV70L 2.5-2020 car; Toyota Hilux GUN135L-DTTSXU pickup truck; Elimak SC45/30 FC II hoist; Tower crane QTP6515-10T-022. Term deposit contracts at the bank.",,0.72,,,
