row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Nam Vinh Yen New Urban Area Project (i),Nam Vinh Yen New Urban Area Project (i),Nam Vinh Yen New Urban Area Project (i),"2,043,250,406,609","1,956,601,160,549",,
Infrastructure for Dai Phuoc Urban Area Project (i),Infrastructure for Dai Phuoc Urban Area Project (i),Infrastructure for Dai Phuoc Urban Area Project (i),"2,143,362,011,412","1,320,804,599,020",,
"Urban Area Project in Ward 4, Hau Giang (i)","Urban Area Project in Ward 4, Hau Giang (i)","Urban Area Project in Ward 4, Hau Giang (i)","1,039,978,529,413","937,161,739,369",,
"Long Tan Resort Project, Nhon Trach (i)","Long Tan Resort Project, Nhon Trach (i)","Long Tan Resort Project, Nhon Trach (i)","871,732,745,907","613,162,706,905",,
"Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","Apartment A2-1 Project, Chi Linh Center Area, Vung Tau","1,041,524,132,662","320,306,504,000",,
"51B Residential Project, Vung Tau","51B Residential Project, Vung Tau","51B Residential Project, Vung Tau","242,655,411,101","189,765,365,192",,
"Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam","Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam","Lam Ha Center Point Residential Project, Phu Ly City, Ha Nam","233,651,723,504","212,963,356,176",,
Cap Saint Jacques Complex Area Project,Cap Saint Jacques Complex Area Project,Cap Saint Jacques Complex Area Project,"148,566,620,900","358,269,706,145",,
Ba Hang Lake eco-tourism project,Ba Hang Lake eco-tourism project,Ba Hang Lake eco-tourism project,-,"61,978,026,684",,
"Hiep Phuoc Urban Area Project, Nhon Trach","Hiep Phuoc Urban Area Project, Nhon Trach","Hiep Phuoc Urban Area Project, Nhon Trach","47,606,726,039","46,836,724,910",,
"Block B Pullman Project, Vung Tau","Block B Pullman Project, Vung Tau","Block B Pullman Project, Vung Tau",-,"278,308,171,361",,
Other Project,Other Project,Other Project,"70,047,705,020","48,566,048,398",,
Total,Total,Total,"7,882,376,012,567","6,344,724,108,709",,
