row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(trình bày lại)VND
Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,,
Phải thu thương mại,Công ty CP Đầu tư DV TC Hoàng Huy > Phải thu thương mại,Phải thu thương mại,1.975.000.000,852.000.000,1975000000.0,852000000.0
Phải thu do ứng trước tiền hàng,Công ty CP Đầu tư DV TC Hoàng Huy > Phải thu do ứng trước tiền hàng,Phải thu do ứng trước tiền hàng,17.926.000.000,-,17926000000.0,
Phải thu ngắn hạn khác,Công ty CP Đầu tư DV TC Hoàng Huy > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,60.153.854.261,-,60153854261.0,
Phải thu dài hạn khác,Công ty CP Đầu tư DV TC Hoàng Huy > Phải thu dài hạn khác,Phải thu dài hạn khác,499.706.000.000,499.706.000.000,499706000000.0,499706000000.0
Phải trả thương mại,Công ty CP Đầu tư DV TC Hoàng Huy > Phải trả thương mại,Phải trả thương mại,13.442.222,33.000.000,13442222.0,33000000.0
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,,
Phải trả do nhận ứng trước tiền hàng,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Phải trả do nhận ứng trước tiền hàng,Phải trả do nhận ứng trước tiền hàng,100.000.000,100.000.000,100000000.0,100000000.0
Thu nhập của Ban giám đốc,Thu nhập của Ban giám đốc,Thu nhập của Ban giám đốc,Thu nhập của Ban giám đốc,Thu nhập của Ban giám đốc,,
,,,Năm nayVND,Năm trướcVND,,
Lương thường và các khoản phúc lợi,Thu nhập của Ban giám đốc > Lương thường và các khoản phúc lợi,Lương thường và các khoản phúc lợi,170.394.444,197.775.000,170394444.0,197775000.0
