row_label_raw,row_label_full,col_0,Căn hộ cho thuê VND,Cộng VND,numeric__Căn hộ cho thuê VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
Tăng trong năm,Số dư đầu năm > Tăng trong năm,Tăng trong năm,193.090.904.450,193.090.904.450,193090904450.0,193090904450.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,193.090.904.450,193.090.904.450,193090904450.0,193090904450.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,4.134.005.583,4.134.005.583,4134005583.0,4134005583.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,4.134.005.583,4.134.005.583,4134005583.0,4134005583.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,188.956.898.867,188.956.898.867,188956898867.0,188956898867.0
