row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,14.425.421.069,1.322.938.235,14.511.467.358,651.176.071,30.911.002.733,14425421069.0,1322938235.0,14511467358.0,651176071.0,30911002733.0
Trình bày lại,NGUYÊN GIÁ > Trình bày lại,Trình bày lại,-,(13.154.113),13.154.113,-,-,,-13154113.0,13154113.0,,
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,9.559.260,-,9.559.260,,,9559260.0,,9559260.0
Thanh lý nhượng bán,NGUYÊN GIÁ > Thanh lý nhượng bán,Thanh lý nhượng bán,-,-,(1.004.318.314),-,(1.004.318.314),,,-1004318314.0,,-1004318314.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,14.425.421.069,1.309.784.122,13.529.862.417,651.176.071,29.916.243.679,14425421069.0,1309784122.0,13529862417.0,651176071.0,29916243679.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
Số đầu năm,HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,914.816.889,93.816.306,7.606.239.565,511.864.175,9.126.736.935,914816889.0,93816306.0,7606239565.0,511864175.0,9126736935.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,448.885.776,417.163.536,1.978.973.664,42.132.468,2.887.155.444,448885776.0,417163536.0,1978973664.0,42132468.0,2887155444.0
Số cuối năm,HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.363.702.665,510.979.842,9.585.213.229,553.996.643,12.013.892.379,1363702665.0,510979842.0,9585213229.0,553996643.0,12013892379.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,13.510.604.180,1.229.121.929,6.905.227.793,139.311.896,21.784.265.798,13510604180.0,1229121929.0,6905227793.0,139311896.0,21784265798.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,13.061.718.404,798.804.280,3.944.649.188,97.179.428,17.902.351.300,13061718404.0,798804280.0,3944649188.0,97179428.0,17902351300.0
