row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối năm VND,Giá trị ghi sổ > Số đầu năm VND,numeric__Giá trị ghi sổ > Số cuối năm VND,numeric__Giá trị ghi sổ > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,117.605.117.577,84.028.754.072,117605117577.0,84028754072.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",651.901.633.380,572.622.772.456,651901633380.0,572622772456.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.805.294.435.841,1.717.085.945.589,1805294435841.0,1717085945589.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.574.801.186.798,2.373.737.472.117,2574801186798.0,2373737472117.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,83.322.907.275,139.159.866.774,83322907275.0,139159866774.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,1.634.301.627,5.276.027.599,1634301627.0,5276027599.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,10.432.764.392,164.164.169,10432764392.0,164164169.0
Cộng,Công nợ tài chính > Cộng,Cộng,95.389.973.294,144.600.058.542,95389973294.0,144600058542.0
