row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.473.414.966.630,2.435.603.818.887,100.0,,2473414966630.0,2435603818887.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,117.605.117.577,84.028.754.072,110.0,4.0,117605117577.0,84028754072.0
1. Tiền,1. Tiền,1. Tiền,111,,117.605.117.577,84.028.754.072,111.0,,117605117577.0,84028754072.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,1.805.294.435.841,1.717.085.945.589,120.0,5.0,1805294435841.0,1717085945589.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,1.805.294.435.841,1.717.085.945.589,123.0,,1805294435841.0,1717085945589.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,178.807.041.880,75.185.317.647,130.0,,178807041880.0,75185317647.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,54.494.501.255,50.348.222.312,131.0,6.0,54494501255.0,50348222312.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,26.611.408.500,2.268.545.191,132.0,,26611408500.0,2268545191.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,97.701.132.125,22.568.550.144,136.0,7.0,97701132125.0,22568550144.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,307.334.964.642,499.723.380.095,140.0,8.0,307334964642.0,499723380095.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,317.446.978.304,506.058.851.671,141.0,,317446978304.0,506058851671.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(10.112.013.662),(6.335.471.576),149.0,,-10112013662.0,-6335471576.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,64.373.406.690,59.580.421.484,150.0,,64373406690.0,59580421484.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,221.382.864,6.258.399.581,151.0,9.0,221382864.0,6258399581.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,63.918.167.668,53.047.786.670,152.0,,63918167668.0,53047786670.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,233.856.158,274.235.233,153.0,,233856158.0,274235233.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,1.154.309.184.331,1.070.038.335.227,200.0,,1154309184331.0,1070038335227.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,499.706.000.000,499.706.000.000,210.0,,499706000000.0,499706000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,7,499.706.000.000,499.706.000.000,216.0,7.0,499706000000.0,499706000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,21.422.351.300,25.304.265.798,220.0,,21422351300.0,25304265798.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,10,17.902.351.300,21.784.265.798,221.0,10.0,17902351300.0,21784265798.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,29.916.243.679,30.911.002.733,222.0,,29916243679.0,30911002733.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(12.013.892.379),(9.126.736.935),223.0,,-12013892379.0,-9126736935.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,3.520.000.000,3.520.000.000,227.0,,3520000000.0,3520000000.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,3.520.000.000,3.520.000.000,228.0,,3520000000.0,3520000000.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,-,-,229.0,,,
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,11,188.956.898.867,-,230.0,11.0,188956898867.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,193.090.904.450,-,231.0,,193090904450.0,
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,232,,(4.134.005.583),-,232.0,,-4134005583.0,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,2.128.409.091,2.128.409.091,240.0,,2128409091.0,2128409091.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.128.409.091,242.0,,2128409091.0,2128409091.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5,430.770.082.966,532.098.767.931,250.0,5.0,430770082966.0,532098767931.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,430.770.082.966,532.098.767.931,252.0,,430770082966.0,532098767931.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,11.325.442.107,10.800.892.407,260.0,,11325442107.0,10800892407.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,11.325.442.107,10.800.892.407,261.0,9.0,11325442107.0,10800892407.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,3.627.724.150.961,3.505.642.154.114,270.0,,3627724150961.0,3505642154114.0
