row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng thanh toán,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng thanh toán,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng thanh toán,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng thanh toán
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty TNHH Thành Trung,Ngắn hạn > Công ty TNHH Thành Trung,Công ty TNHH Thành Trung,6.266.442.198,6.266.442.198,3.538.504.788,3.538.504.788,6266442198.0,6266442198.0,3538504788.0,3538504788.0
DongFeng,DongFeng,DongFeng,DongFeng,DongFeng,DongFeng,DongFeng,,,,
"Commercial Vehicle Co.,LTD","DongFeng > Commercial Vehicle Co.,LTD","Commercial Vehicle Co.,LTD",4.610.419.199,4.610.419.199,-,-,4610419199.0,4610419199.0,,
Công ty CP Ô tô chuyên dùng Tuấn Phương,DongFeng > Công ty CP Ô tô chuyên dùng Tuấn Phương,Công ty CP Ô tô chuyên dùng Tuấn Phương,2.520.000.000,2.520.000.000,-,-,2520000000.0,2520000000.0,,
Công ty CP Dịch Vụ và Địa Óc Đất Xanh Miền Bắc,DongFeng > Công ty CP Dịch Vụ và Địa Óc Đất Xanh Miền Bắc,Công ty CP Dịch Vụ và Địa Óc Đất Xanh Miền Bắc,1.845.050.191,1.845.050.191,5.546.992.161,5.546.992.161,1845050191.0,1845050191.0,5546992161.0,5546992161.0
Công ty TNHH Xây dựng và Thương mại Nam Sơn,DongFeng > Công ty TNHH Xây dựng và Thương mại Nam Sơn,Công ty TNHH Xây dựng và Thương mại Nam Sơn,-,-,35.388.234.604,35.388.234.604,,,35388234604.0,35388234604.0
Công ty Cổ phần Xây dựng Trường Hưng Thịnh,DongFeng > Công ty Cổ phần Xây dựng Trường Hưng Thịnh,Công ty Cổ phần Xây dựng Trường Hưng Thịnh,-,-,17.295.442.500,17.295.442.500,,,17295442500.0,17295442500.0
Công ty CP Bạch Đằng 7,DongFeng > Công ty CP Bạch Đằng 7,Công ty CP Bạch Đằng 7,-,-,7.932.380.000,7.932.380.000,,,7932380000.0,7932380000.0
Công ty TNHH Xây dựng Dân dụng và Công nghiệp Thành Long,DongFeng > Công ty TNHH Xây dựng Dân dụng và Công nghiệp Thành Long,Công ty TNHH Xây dựng Dân dụng và Công nghiệp Thành Long,-,-,5.550.335.218,5.550.335.218,,,5550335218.0,5550335218.0
Các đối tượng khác,DongFeng > Các đối tượng khác,Các đối tượng khác,3.530.514.866,3.530.514.866,2.481.820.034,2.481.820.034,3530514866.0,3530514866.0,2481820034.0,2481820034.0
Cộng,DongFeng > Cộng,Cộng,18.772.426.454,18.772.426.454,77.733.709.305,77.733.709.305,18772426454.0,18772426454.0,77733709305.0,77733709305.0
