row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,117.605.117.577,-,117.605.117.577,117605117577.0,,117605117577.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,152.195.633.380,499.706.000.000,651.901.633.380,152195633380.0,499706000000.0,651901633380.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.805.294.435.841,-,1.805.294.435.841,1805294435841.0,,1805294435841.0
Cộng,Cộng,Cộng,2.075.095.186.798,499.706.000.000,2.574.801.186.798,2075095186798.0,499706000000.0,2574801186798.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,83.322.907.275,-,83.322.907.275,83322907275.0,,83322907275.0
Chỉ phí phải trả,Số cuối năm > Chỉ phí phải trả,Chỉ phí phải trả,1.634.301.627,-,1.634.301.627,1634301627.0,,1634301627.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,77.207.727,10.355.556.665,10.432.764.392,77207727.0,10355556665.0,10432764392.0
Cộng,Số cuối năm > Cộng,Cộng,85.034.416.629,10.355.556.665,95.389.973.294,85034416629.0,10355556665.0,95389973294.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.990.060.770.169,489.350.443.335,2.479.411.213.504,1990060770169.0,489350443335.0,2479411213504.0
