row_label_raw,row_label_full,Năm kết thúc ngày 31/12/2021 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 1.275,Phát sinh trong năm > Số phải nộpTriệu VND > 16.006,Phát sinh trong năm > Số đã nộpTriệu VND > (15.153),Số dưcuối nămTriệu VND > 2.128,numeric__Số dưđầu nămTriệu VND > 1.275,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 16.006,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (15.153),numeric__Số dưcuối nămTriệu VND > 2.128
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,124.424,363.283,(410.491),77.216,124424.0,363283.0,-410491.0,77216.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.914,67.684,(65.101),14.497,11914.0,67684.0,-65101.0,14497.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,425,3.490,(3.167),748,425.0,3490.0,-3167.0,748.0
,,,138.038,450.463,(493.912),94.589,138038.0,450463.0,-493912.0,94589.0
Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Năm kết thúc ngày 31/12/2020,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm kết thúc ngày 31/12/2020 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,598,8.574,(7.897),1.275,598.0,8574.0,-7897.0,1275.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày 31/12/2020 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,69.717,204.935,(150.228),124.424,69717.0,204935.0,-150228.0,124424.0
Thuế thu nhập cá nhân,Năm kết thúc ngày 31/12/2020 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.819,79.395,(77.300),11.914,9819.0,79395.0,-77300.0,11914.0
Các loại thuế khác,Năm kết thúc ngày 31/12/2020 > Các loại thuế khác,Các loại thuế khác,564,3.712,(3.851),425,564.0,3712.0,-3851.0,425.0
,,,80.698,296.616,(239.276),138.038,80698.0,296616.0,-239276.0,138038.0
