row_label_raw,row_label_full,Số dư cuối năm,31/12/2021Triệu VNDPhải thu/(Phải trả),31/12/2020Triệu VND,numeric__31/12/2021Triệu VNDPhải thu/(Phải trả),numeric__31/12/2020Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi,Công ty con > Tiền gửi,Tiền gửi,(82.678),(64.802),-82678.0,-64802.0
Lãi dự chi cho tiền gửi,Công ty con > Lãi dự chi cho tiền gửi,Lãi dự chi cho tiền gửi,(196),(125),-196.0,-125.0
"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng","Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng",,,,
Tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Tiền gửi",Tiền gửi,(48.619),(32.457),-48619.0,-32457.0
Tiền cho vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Tiền cho vay",Tiền cho vay,13.002,36.376,13002.0,36376.0
Lãi dự chi cho tiền gửi,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Lãi dự chi cho tiền gửi",Lãi dự chi cho tiền gửi,(143),(51),-143.0,-51.0
Lãi dự thu từ cho vay,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Lãi dự thu từ cho vay",Lãi dự thu từ cho vay,37,214,37.0,214.0
Phải trả khác,"Thành viên Hội đồng Quản trị, Ban Tổng Giám đốc và Ban Kiểm soát của Ngân hàng > Phải trả khác",Phải trả khác,(73),(73),-73.0,-73.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi,Các bên liên quan khác (*) > Tiền gửi,Tiền gửi,(639.534),(680.907),-639534.0,-680907.0
Tiền cho vay,Các bên liên quan khác (*) > Tiền cho vay,Tiền cho vay,47.695,24.908,47695.0,24908.0
Đặt cọc thuê trụ sở,Các bên liên quan khác (*) > Đặt cọc thuê trụ sở,Đặt cọc thuê trụ sở,270,6.128,270.0,6128.0
Lãi dự chi cho tiền gửi,Các bên liên quan khác (*) > Lãi dự chi cho tiền gửi,Lãi dự chi cho tiền gửi,(22.328),(27.571),-22328.0,-27571.0
Lãi dự thu từ cho vay,Các bên liên quan khác (*) > Lãi dự thu từ cho vay,Lãi dự thu từ cho vay,294,101,294.0,101.0
