row_label_raw,row_label_full,Nợ phải trả,Nợ phải trả_1,Nợ phải trả_2,Nợ phải trả_3,Nợ phải trả_4,Nợ phải trả_5,Nợ phải trả_6,Nợ phải trả_7,Nợ phải trả_8,Nợ phải trả_9,numeric__Nợ phải trả_1,numeric__Nợ phải trả_2,numeric__Nợ phải trả_3,numeric__Nợ phải trả_4,numeric__Nợ phải trả_5,numeric__Nợ phải trả_6,numeric__Nợ phải trả_7,numeric__Nợ phải trả_8,numeric__Nợ phải trả_9
Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,35,764,358,97,-,-,1.254,,,35.0,764.0,358.0,97.0,,,1254.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.426.057,2.638.838,18.358,107,4.291,-,19.087.651,,,16426057.0,2638838.0,18358.0,107.0,4291.0,,19087651.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.882.040,23.607.319,29.044.508,17.552.643,3.230.392,1.931,98.318.833,,,24882040.0,23607319.0,29044508.0,17552643.0,3230392.0,1931.0,98318833.0
Các công cụ phải sinh và các khoản nợ phải trả tài chính khác,Các công cụ phải sinh và các khoản nợ phải trả tài chính khác,Các công cụ phải sinh và các khoản nợ phải trả tài chính khác,-,5.571,-,-,-,-,-,-,5.571,,5571.0,,,,,,,5571.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,9.767,-,462.600,-,-,-,472.367,,,9767.0,,462600.0,,,,472367.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,355.517,1.624.196,1.489.220,2.488.380,800.000,200.000,6.957.313,,,355517.0,1624196.0,1489220.0,2488380.0,800000.0,200000.0,6957313.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,-,2.935.693,-,-,-,-,-,-,2.935.693,,2935693.0,,,,,,,2935693.0
,,,-,2.941.264,41.673.416,27.871.117,31.015.044,20.041.227,4.034.683,201.931,127.778.682,,2941264.0,41673416.0,27871117.0,31015044.0,20041227.0,4034683.0,201931.0,127778682.0
Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,2.809.583,8.742.238,(10.612.285),37.578.598,(24.156.965),(18.780.221),(2.587.584),14.498.654,7.492.018,2809583.0,8742238.0,-10612285.0,37578598.0,-24156965.0,-18780221.0,-2587584.0,14498654.0,7492018.0
Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,Mức chênh nhạy cảm với lãi suất ngoại bảng,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất ngoại bảng > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",2.809.583,8.742.238,(10.612.285),37.578.598,(24.156.965),(18.780.221),(2.587.584),14.498.654,7.492.018,2809583.0,8742238.0,-10612285.0,37578598.0,-24156965.0,-18780221.0,-2587584.0,14498654.0,7492018.0
