row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng",4,1.001.628,985.235,,4.0,1001628.0,985235.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,5.131.299,4.428.378,,5.0,5131299.0,4428378.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,17.770.233,11.893.543,,6.0,17770233.0,11893543.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,17.540.348,11.654.314,,,17540348.0,11654314.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,229.885,239.229,,,229885.0,239229.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,127.921,127.921,,7.0,127921.0,127921.0
1,A > 1,1,Chứng khoán kinh doanh,,144.141,144.141,,,144141.0,144141.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(16.220),(16.220),,,-16220.0,-16220.0
VI,A > VI,VI,Cho vay khách hàng,,101.370.504,88.320.271,,,101370504.0,88320271.0
1,A > 1,1,Cho vay khách hàng,8,102.653.266,89.171.618,,8.0,102653266.0,89171618.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(1.282.762),(851.347),,9.0,-1282762.0,-851347.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,22.858.438,20.276.783,,10.0,22858438.0,20276783.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,9.990.857,7.131.959,,,9990857.0,7131959.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,13.173.557,13.150.962,,,13173557.0,13150962.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(305.976),(6.138),,,-305976.0,-6138.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,215.280,214.348,,11.0,215280.0,214348.0
1,A > 1,1,Đầu tư vào công ty con,,100.000,100.000,,,100000.0,100000.0
4,A > 4,4,Đầu tư dài hạn khác,,115.280,115.280,,,115280.0,115280.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,-,(932),,,,-932.0
X,A > X,X,Tài sản cố định,,981.701,1.001.170,,,981701.0,1001170.0
1,A > 1,1,Tài sản cố định hữu hình,12,507.288,515.899,,12.0,507288.0,515899.0
a,A > a,a,Nguyên giá,,1.023.765,946.465,,,1023765.0,946465.0
b,A > b,b,Giá trị hao mòn lũy kế,,(516.477),(430.566),,,-516477.0,-430566.0
2,A > 2,2,Tài sản cố định thuê tài chính,13,58.803,53.396,,13.0,58803.0,53396.0
a,A > a,a,Nguyên giá,,80.800,81.690,,,80800.0,81690.0
b,A > b,b,Giá trị hao mòn lũy kế,,(21.997),(28.294),,,-21997.0,-28294.0
3,A > 3,3,Tài sản cố định vô hình,14,415.610,431.875,,14.0,415610.0,431875.0
a,A > a,a,Nguyên giá,,556.094,556.094,,,556094.0,556094.0
b,A > b,b,Giá trị hao mòn lũy kế,,(140.484),(124.219),,,-140484.0,-124219.0
XII,A > XII,XII,Tài sản Có khác,15,3.831.705,7.101.293,,15.0,3831705.0,7101293.0
1,A > 1,1,Các khoản phải thu,,686.860,4.196.033,,,686860.0,4196033.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.811.443,2.631.737,,,2811443.0,2631737.0
4,A > 4,4,Tài sản Có khác,,349.946,320.644,,,349946.0,320644.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(16.544),(47.121),,,-16544.0,-47121.0
,,,TỔNG TÀI SẢN,,153.288.709,134.348.942,,,153288709.0,134348942.0
