row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_1","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_2","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_3","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_4","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_5","Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Nam Á201 - 203 Cách Mạng Tháng Tám, Phường 4, Quận 3Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_6"
,,,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sảncó định khácTriệu VND,TổngTriệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,422.957,300.604,173.843,34.655,14.406,946.465,422957.0,300604.0,173843.0,34655.0,14406.0,946465.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,163,16.862,155,136,31,17.347,163.0,16862.0,155.0,136.0,31.0,17347.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,37.591,9.596,1.287,428,48.902,,37591.0,9596.0,1287.0,428.0,48902.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(779),(10.548),(773),(766),(12.866),,-779.0,-10548.0,-773.0,-766.0,-12866.0
Chuyển từ tài sản cố định thuê tài chính,Nguyên giá > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,23.917,-,-,23.917,,,23917.0,,,23917.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,423.120,354.278,196.963,35.305,14.099,1.023.765,423120.0,354278.0,196963.0,35305.0,14099.0,1023765.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,127.897,166.440,97.192,27.751,11.286,430.566,127897.0,166440.0,97192.0,27751.0,11286.0,430566.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,15.832,37.630,20.800,2.392,1.287,77.941,15832.0,37630.0,20800.0,2392.0,1287.0,77941.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(769),(10.443),(769),(766),(12.747),,-769.0,-10443.0,-769.0,-766.0,-12747.0
Chuyển từ tài sản cố định thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định thuê tài chính,Chuyển từ tài sản cố định thuê tài chính,-,-,20.717,-,-,20.717,,,20717.0,,,20717.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,143.729,203.301,128.266,29.374,11.807,516.477,143729.0,203301.0,128266.0,29374.0,11807.0,516477.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,295.060,134.164,76.651,6.904,3.120,515.899,295060.0,134164.0,76651.0,6904.0,3120.0,515899.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,279.391,150.977,68.697,5.931,2.292,507.288,279391.0,150977.0,68697.0,5931.0,2292.0,507288.0
