row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17.676.614,1.411.037,-,-,-,19.087.651,17676614.0,1411037.0,,,,19087651.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,97.048.779,1.260.036,-,6.741,3.277,98.318.833,97048779.0,1260036.0,,6741.0,3277.0,98318833.0
Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,828.999,(823.428),-,-,-,5.571,828999.0,-823428.0,,,,5571.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",9.767,462.600,-,-,-,472.367,9767.0,462600.0,,,,472367.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,6.957.313,-,-,-,-,6.957.313,6957313.0,,,,,6957313.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,2.927.405,8.262,-,26,-,2.935.693,2927405.0,8262.0,,26.0,,2935693.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,6.570.260,-,-,-,-,6.570.260,6570260.0,,,,,6570260.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),132.020.391,2.318.507,-,6.767,3.277,134.348.942,132020391.0,2318507.0,,6767.0,3277.0,134348942.0
Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],Trạng thái tiền tệ nội bằng [(3)=(1)-(2)],872.055,39.523,1.401,726,8.053,921.758,872055.0,39523.0,1401.0,726.0,8053.0,921758.0
Trạng thái tiền tệ ngoại bằng (4),Trạng thái tiền tệ ngoại bằng (4),Trạng thái tiền tệ ngoại bằng (4),-,-,-,-,-,-,,,,,,
"Trạng thái tiền tệ nội, ngoại bằng [(5)=(3)+(4)]","Trạng thái tiền tệ ngoại bằng (4) > Trạng thái tiền tệ nội, ngoại bằng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bằng [(5)=(3)+(4)]",872.055,39.523,1.401,726,8.053,921.758,872055.0,39523.0,1401.0,726.0,8053.0,921758.0
