row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND > 31/12/2021,Khu vực Miền Bắc Triệu VND > 31/12/2020,Khu vực Miền Trung Triệu VND > 31/12/2021,Khu vực Miền Trung Triệu VND > 31/12/2020,Khu vực Miền Nam Triệu VND > 31/12/2021,Khu vực Miền Nam Triệu VND > 31/12/2020,Loại trừ Triệu VND > 31/12/2021,Loại trừ Triệu VND > 31/12/2020,Tổng Triệu VND > 31/12/2021,Tổng Triệu VND > 31/12/2020,numeric__Khu vực Miền Bắc Triệu VND > 31/12/2021,numeric__Khu vực Miền Bắc Triệu VND > 31/12/2020,numeric__Khu vực Miền Trung Triệu VND > 31/12/2021,numeric__Khu vực Miền Trung Triệu VND > 31/12/2020,numeric__Khu vực Miền Nam Triệu VND > 31/12/2021,numeric__Khu vực Miền Nam Triệu VND > 31/12/2020,numeric__Loại trừ Triệu VND > 31/12/2021,numeric__Loại trừ Triệu VND > 31/12/2020,numeric__Tổng Triệu VND > 31/12/2021,numeric__Tổng Triệu VND > 31/12/2020
III. Tài sản,III. Tài sản,III. Tài sản,2.119.915,1.959.158,10.560.903,9.460.219,140.607.891,122.929.565,-,-,153.288.709,134.348.942,2119915.0,1959158.0,10560903.0,9460219.0,140607891.0,122929565.0,,,153288709.0,134348942.0
"1. Tiền mặt, vàng","1. Tiền mặt, vàng","1. Tiền mặt, vàng",79.223,67.089,190.407,185.910,731.998,732.236,-,-,1.001.628,985.235,79223.0,67089.0,190407.0,185910.0,731998.0,732236.0,,,1001628.0,985235.0
2. Tiền gửi và cho vay các TCTD khác,2. Tiền gửi và cho vay các TCTD khác,2. Tiền gửi và cho vay các TCTD khác,75,194,68,1.413,17.770.090,11.891.936,-,-,17.770.233,11.893.543,75.0,194.0,68.0,1413.0,17770090.0,11891936.0,,,17770233.0,11893543.0
3. Cho vay khách hàng,3. Cho vay khách hàng,3. Cho vay khách hàng,1.946.329,1.821.394,10.082.166,8.960.142,89.342.009,77.538.735,-,-,101.370.504,88.320.271,1946329.0,1821394.0,10082166.0,8960142.0,89342009.0,77538735.0,,,101370504.0,88320271.0
4. Chứng khoán đầu tư,4. Chứng khoán đầu tư,4. Chứng khoán đầu tư,-,-,(14.767),-,22.873.205,20.276.783,-,-,22.858.438,20.276.783,,,-14767.0,,22873205.0,20276783.0,,,22858438.0,20276783.0
5. Tài sản cố định,5. Tài sản cố định,5. Tài sản cố định,29.438,22.771,142.126,137.606,810.137,840.793,-,-,981.701,1.001.170,29438.0,22771.0,142126.0,137606.0,810137.0,840793.0,,,981701.0,1001170.0
6. Tài sản khác,6. Tài sản khác,6. Tài sản khác,64.850,47.710,160.903,175.148,9.080.452,11.649.082,-,-,9.306.205,11.871.940,64850.0,47710.0,160903.0,175148.0,9080452.0,11649082.0,,,9306205.0,11871940.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,29.447.545,22.523.305,20.000.284,16.731.036,95.844.548,88.524.341,-,-,145.292.377,127.778.682,29447545.0,22523305.0,20000284.0,16731036.0,95844548.0,88524341.0,,,145292377.0,127778682.0
1. Tiền gửi và vay các TCTD khác và NHNNVN,1. Tiền gửi và vay các TCTD khác và NHNNVN,1. Tiền gửi và vay các TCTD khác và NHNNVN,100,100,22.413,12.676,15.600.778,19.076.129,-,-,15.623.291,19.088.905,100.0,100.0,22413.0,12676.0,15600778.0,19076129.0,,,15623291.0,19088905.0
2. Tiền gửi của khách hàng,2. Tiền gửi của khách hàng,2. Tiền gửi của khách hàng,27.752.628,21.089.480,17.513.673,15.087.862,70.135.765,62.141.491,-,-,115.402.066,98.318.833,27752628.0,21089480.0,17513673.0,15087862.0,70135765.0,62141491.0,,,115402066.0,98318833.0
"3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","3. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,464.623,472.367,-,-,464.623,472.367,,,,,464623.0,472367.0,,,464623.0,472367.0
4. Phát hành giấy tờ có giá,4. Phát hành giấy tờ có giá,4. Phát hành giấy tờ có giá,1.074.223,728.533,2.051.570,1.210.290,7.234.310,5.018.490,-,-,10.360.103,6.957.313,1074223.0,728533.0,2051570.0,1210290.0,7234310.0,5018490.0,,,10360103.0,6957313.0
5. Nợ phải trả khác,5. Nợ phải trả khác,5. Nợ phải trả khác,620.594,705.192,412.628,420.208,2.409.072,1.815.864,-,-,3.442.294,2.941.264,620594.0,705192.0,412628.0,420208.0,2409072.0,1815864.0,,,3442294.0,2941264.0
