row_label_raw,row_label_full,col_0,Khu vựcMiền BắcTriệu VND > 2021,Khu vựcMiền BắcTriệu VND > 2020,Khu vựcMiền TrungTriệu VND > 2021,Khu vựcMiền TrungTriệu VND > 2020,Khu vựcMiền NamTriệu VND > 2021,Khu vựcMiền NamTriệu VND > 2020,Loại trừTriệu VND > 2021,Loại trừTriệu VND > 2020,TổngTriệu VND > 2021,TổngTriệu VND > 2020,numeric__Khu vựcMiền BắcTriệu VND > 2021,numeric__Khu vựcMiền BắcTriệu VND > 2020,numeric__Khu vựcMiền TrungTriệu VND > 2021,numeric__Khu vựcMiền TrungTriệu VND > 2020,numeric__Khu vựcMiền NamTriệu VND > 2021,numeric__Khu vựcMiền NamTriệu VND > 2020,numeric__Loại trừTriệu VND > 2021,numeric__Loại trừTriệu VND > 2020,numeric__TổngTriệu VND > 2021,numeric__TổngTriệu VND > 2020
I. Doanh thu,I. Doanh thu,I. Doanh thu,2.119.525,1.773.120,2.491.989,2.273.252,23.550.967,20.916.679,(16.396.332),(15.168.491),11.766.149,9.794.560,2119525.0,1773120.0,2491989.0,2273252.0,23550967.0,20916679.0,-16396332.0,-15168491.0,11766149.0,9794560.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,2.098.291,1.763.819,2.465.040,2.258.112,22.885.116,20.223.004,(16.396.332),(15.168.491),11.052.115,9.076.444,2098291.0,1763819.0,2465040.0,2258112.0,22885116.0,20223004.0,-16396332.0,-15168491.0,11052115.0,9076444.0
2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,2. Doanh thu từ hoạt độngdịch vụ,12.708,4.556,22.012,13.991,245.814,191.401,-,-,280.534,209.948,12708.0,4556.0,22012.0,13991.0,245814.0,191401.0,,,280534.0,209948.0
3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,3. Doanh thu từ hoạt độngkinh doanh khác,8.526,4.745,4.937,1.149,420.037,502.274,-,-,433.500,508.168,8526.0,4745.0,4937.0,1149.0,420037.0,502274.0,,,433500.0,508168.0
II. Chi phí,II. Chi phí,II. Chi phí,(1.843.174),(1.663.744),(2.120.390),(2.060.346),(21.621.419),(19.676.153),16.396.332,15.168.491,(9.188.651),(8.231.752),-1843174.0,-1663744.0,-2120390.0,-2060346.0,-21621419.0,-19676153.0,16396332.0,15168491.0,-9188651.0,-8231752.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(1.675.080),(1.539.570),(1.886.115),(1.857.475),(19.626.494),(18.255.651),16.396.332,15.168.491,(6.791.357),(6.484.205),-1675080.0,-1539570.0,-1886115.0,-1857475.0,-19626494.0,-18255651.0,16396332.0,15168491.0,-6791357.0,-6484205.0
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(5.963),(4.124),(12.328),(10.452),(90.335),(78.131),-,-,(108.626),(92.707),-5963.0,-4124.0,-12328.0,-10452.0,-90335.0,-78131.0,,,-108626.0,-92707.0
3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,3. Chi phí liên quan trực tiếpđến hoạt động kinh doanh,(162.131),(120.050),(221.947),(192.419),(1.904.590),(1.342.371),-,-,(2.288.668),(1.654.840),-162131.0,-120050.0,-221947.0,-192419.0,-1904590.0,-1342371.0,,,-2288668.0,-1654840.0
Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,Kết quả kinh doanh trướcchi phí dự phòng rủi ro,276.351,109.376,371.599,212.906,1.929.548,1.240.526,-,-,2.577.498,1.562.808,276351.0,109376.0,371599.0,212906.0,1929548.0,1240526.0,,,2577498.0,1562808.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,3.083,(5.372),(37.637),(2.514),(745.298),(550.323),-,-,(779.852),(558.209),3083.0,-5372.0,-37637.0,-2514.0,-745298.0,-550323.0,,,-779852.0,-558209.0
Kết quả kinh doanh bộphận trước thuế TNDN,Kết quả kinh doanh bộphận trước thuế TNDN,Kết quả kinh doanh bộphận trước thuế TNDN,279.434,104.004,333.962,210.392,1.184.250,690.203,-,-,1.797.646,1.004.599,279434.0,104004.0,333962.0,210392.0,1184250.0,690203.0,,,1797646.0,1004599.0
