row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,16,996,1.254,,16.0,996.0,1254.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,15.622.295,19.087.651,,17.0,15622295.0,19087651.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.071.047,13.256.856,,,13071047.0,13256856.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,2.551.248,5.830.795,,,2551248.0,5830795.0
III,B > III,III,Tiền gửi của khách hàng,18,115.402.066,98.318.833,,18.0,115402066.0,98318833.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ phải trả tài chính khác,19,3.112,5.571,,19.0,3112.0,5571.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,464.623,472.367,,20.0,464623.0,472367.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,10.360.103,6.957.313,,21.0,10360103.0,6957313.0
VII,B > VII,VII,Các khoản nợ khác,22,3.439.182,2.935.693,,22.0,3439182.0,2935693.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.371.439,2.410.083,,,2371439.0,2410083.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,1.067.743,525.610,,,1067743.0,525610.0
,,,TỔNG NỘ PHẢI TRẢ,,145.292.377,127.778.682,,,145292377.0,127778682.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,24,7.996.332,6.570.260,,24.0,7996332.0,6570260.0
1,B > 1,1,Vốn của tổ chức tín dụng,,5.305.711,4.735.774,,,5305711.0,4735774.0
a,B > a,a,Vốn điều lệ,,5.134.405,4.564.468,,,5134405.0,4564468.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,10,10,,,10.0,10.0
c,B > c,c,Thặng dư vốn cổ phần,,171.271,171.271,,,171271.0,171271.0
g,B > g,g,Vốn khác,,25,25,,,25.0,25.0
2,B > 2,2,Các quỹ,,749.285,532.771,,,749285.0,532771.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.941.336,1.301.715,,,1941336.0,1301715.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,7.996.332,6.570.260,,,7996332.0,6570260.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,153.288.709,134.348.942,,,153288709.0,134348942.0
