row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,358.202.953.406,423.635.795.804,23.250.257.356,8.147.941.898,813.236.948.464,358202953406.0,423635795804.0,23250257356.0,8147941898.0,813236948464.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.577.947.696,48.660.911.580,2.069.672.924,38.000.000,53.346.532.200,2577947696.0,48660911580.0,2069672924.0,38000000.0,53346532200.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,12.375.631.695,6.227.961.178,-,-,18.603.592.873,12375631695.0,6227961178.0,,,18603592873.0
Thanh lý và xóa sổ,Nguyên giá: > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(1.223.741.000),(78.222.085.386),(1.601.531.150),-,(81.047.357.536),-1223741000.0,-78222085386.0,-1601531150.0,,-81047357536.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(20.493.283.751),(9.804.880.877),(2.172.791.701),-,(32.470.956.329),-20493283751.0,-9804880877.0,-2172791701.0,,-32470956329.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,351.439.508.046,390.747.552.299,21.295.757.429,8.185.941.898,771.668.759.672,351439508046.0,390747552299.0,21295757429.0,8185941898.0,771668759672.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,69.148.111.583,123.777.709.162,8.198.605.668,2.038.081.287,203.162.507.700,69148111583.0,123777709162.0,8198605668.0,2038081287.0,203162507700.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(247.807.460.003),(268.978.773.271),(18.026.364.985),(5.052.912.641),(539.865.510.900),-247807460003.0,-268978773271.0,-18026364985.0,-5052912641.0,-539865510900.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.412.779.625),(23.476.977.921),(1.474.050.085),(983.685.813),(37.347.493.444),-11412779625.0,-23476977921.0,-1474050085.0,-983685813.0,-37347493444.0
Thanh lý và xóa sổ,Giá trị khấu hao lũy kế: > Thanh lý và xóa sổ,Thanh lý và xóa sổ,1.223.740.999,37.864.845.226,1.601.531.150,-,40.690.117.375,1223740999.0,37864845226.0,1601531150.0,,40690117375.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,20.493.283.751,9.649.880.877,2.172.791.701,-,32.315.956.329,20493283751.0,9649880877.0,2172791701.0,,32315956329.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(237.503.214.878),(244.941.025.089),(15.726.092.219),(6.036.598.454),(504.206.930.640),-237503214878.0,-244941025089.0,-15726092219.0,-6036598454.0,-504206930640.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,110.395.493.403,154.906.872.533,4.974.042.371,3.095.029.257,273.371.437.564,110395493403.0,154906872533.0,4974042371.0,3095029257.0,273371437564.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,113.936.293.168,145.806.527.210,5.569.665.210,2.149.343.444,267.461.829.032,113936293168.0,145806527210.0,5569665210.0,2149343444.0,267461829032.0
