row_label_raw,row_label_full,Doanh thu,Doanh thu_1,Doanh thu_2,Doanh thu_3,Doanh thu_4,numeric__Doanh thu_1,numeric__Doanh thu_2,numeric__Doanh thu_3,numeric__Doanh thu_4
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.485.983.482.018,9.527.400.000,111.528.632.893,1.607.039.514.911,1485983482018.0,9527400000.0,111528632893.0,1607039514911.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.485.983.482.018,9.527.400.000,111.528.632.893,1.607.039.514.911,1485983482018.0,9527400000.0,111528632893.0,1607039514911.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lỗ từ hoạt động kinh doanh của bộ phận,Kết quả > Lỗ từ hoạt động kinh doanh của bộ phận,Lỗ từ hoạt động kinh doanh của bộ phận,814.002.507,2.436.982.583,(16.706.304.150),(13.455.319.060),814002507.0,2436982583.0,-16706304150.0,-13455319060.0
Doanh thu tài chính,Kết quả > Doanh thu tài chính,Doanh thu tài chính,,,,60.126.813.478,,,,60126813478.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,(64.946.229.227),,,,-64946229227.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,39.411.060.628,,,,39411060628.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,(17.656.548.108),,,,-17656548108.0
Phần lỗ trong công ty liên kết,Kết quả > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,(1.787.021.777),,,,-1787021777.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(25.697.076),,,,-25697076.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,844.720.129,,,,844720129.0
Lợi nhuận sau thuế,Kết quả > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,2.511.778.987,,,,2511778987.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,,,,2.838.339.379.135,,,,2838339379135.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,2.838.339.379.135,,,,2838339379135.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,2.383.068.543.372,,,,2383068543372.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.383.068.543.372,,,,2383068543372.0
