row_label_raw,row_label_full,col_0,Giá trị còn lại > Tỷ lệ sở hữu %,Giá trị còn lại > Số cuối năm VND,Giá trị còn lại > Tỷ lệ sở hữu %_1,Giá trị còn lại > Số đầu năm VND,numeric__Giá trị còn lại > Tỷ lệ sở hữu %,numeric__Giá trị còn lại > Số cuối năm VND,numeric__Giá trị còn lại > Tỷ lệ sở hữu %_1,numeric__Giá trị còn lại > Số đầu năm VND
"Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","Công ty TNHH Trồng rừng Trường Thành OJI (""OJI"")","51,00",65.721.495.142,"51,00",67.508.516.919,51.0,65721495142.0,51.0,67508516919.0
"Công ty Cổ phần Viestones (""Viestones"")","Công ty Cổ phần Viestones (""Viestones"")","Công ty Cổ phần Viestones (""Viestones"")","20,00",4.200.000.000,"20,00",4.200.000.000,20.0,4200000000.0,20.0,4200000000.0
"Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","Công ty Cổ phần Bao bì Trường Thành (""Bao bì"")","43,76",-,"43,76",-,43.76,,43.76,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,69.921.495.142,,71.708.516.919,,69921495142.0,,71708516919.0
