row_label_raw,row_label_full,col_0,Quyền sử dụng đất lâu dài,Quyền sử dụng đất có thời hạn,Phần mềm máy tính,Tài săn khác,VND Tổng cộng,numeric__Quyền sử dụng đất lâu dài,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy tính,numeric__Tài săn khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,88.819.703.057,25.405.708.483,17.785.256.880,133.469.300.420,1458632000.0,88819703057.0,25405708483.0,17785256880.0,133469300420.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,984.800.000,-,984.800.000,,,984800000.0,,984800000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,88.819.703.057,26.390.508.483,17.785.256.880,134.454.100.420,1458632000.0,88819703057.0,26390508483.0,17785256880.0,134454100420.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,-,855.790.607,157.259.011,1.013.049.618,,,855790607.0,157259011.0,1013049618.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(4.902.582.127),(8.778.981.609),(11.592.168.433),(25.273.732.169),,-4902582127.0,-8778981609.0,-11592168433.0,-25273732169.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(1.495.158.469),(3.342.252.352),(886.001.969),(5.723.412.790),,-1495158469.0,-3342252352.0,-886001969.0,-5723412790.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(6.397.740.596),(12.121.233.961),(12.478.170.402),(30.997.144.959),,-6397740596.0,-12121233961.0,-12478170402.0,-30997144959.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,83.917.120.930,16.626.726.874,6.193.088.447,108.195.568.251,1458632000.0,83917120930.0,16626726874.0,6193088447.0,108195568251.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,82.421.962.461,14.269.274.522,5.307.086.478,103.456.955.461,1458632000.0,82421962461.0,14269274522.0,5307086478.0,103456955461.0
