row_label_raw,row_label_full,Năm trước: > Số đầu năm,Năm trước: > (184.620.244.125),numeric__Năm trước: > (184.620.244.125)
Góp vốn,Góp vốn,Góp vốn,29.400.000.000,29400000000.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,37.232.077.142,37232077142.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,(12.425.629.679),-12425629679.0
Số cuối năm,Số cuối năm,Số cuối năm,(130.413.796.662),-130413796662.0
