row_label_raw,row_label_full,Doanh thu,Doanh thu_1,Doanh thu_2,Doanh thu_3,Doanh thu_4,numeric__Doanh thu_1,numeric__Doanh thu_2,numeric__Doanh thu_3,numeric__Doanh thu_4
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.036.446.170.594,12.360.185.000,164.712.966.155,1.213.519.321.749,1036446170594.0,12360185000.0,164712966155.0,1213519321749.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.036.446.170.594,12.360.185.000,164.712.966.155,1.213.519.321.749,1036446170594.0,12360185000.0,164712966155.0,1213519321749.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lãi từ hoạt động kinh doanh của bộ phận,Kết quả > Lãi từ hoạt động kinh doanh của bộ phận,Lãi từ hoạt động kinh doanh của bộ phận,59.742.348.002,7.180.077.114,1.610.113.308,68.532.538.424,59742348002.0,7180077114.0,1610113308.0,68532538424.0
Doanh thu tài chính,Kết quả > Doanh thu tài chính,Doanh thu tài chính,,,,26.961.438.462,,,,26961438462.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,(121.590.908.538),,,,-121590908538.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,67.989.215.943,,,,67989215943.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,(21.094.868.029),,,,-21094868029.0
Phần lỗ trong công ty liên kết,Kết quả > Phần lỗ trong công ty liên kết,Phần lỗ trong công ty liên kết,,,,(4.298.318.403),,,,-4298318403.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(648.740.236),,,,-648740236.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,2.262.515.599,,,,2262515599.0
Lãi sau thuế,Kết quả > Lãi sau thuế,Lãi sau thuế,,,,18.112.873.222,,,,18112873222.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,,,,2.240.829.398.973,,,,2240829398973.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,2.240.829.398.973,,,,2240829398973.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,2.825.685.710.923,,,,2825685710923.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,2.825.685.710.923,,,,2825685710923.0
