row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phần Đồng Tâm Dotalia,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đồng Tâm Dotalia,Công ty Cổ phần Đồng Tâm Dotalia,Công ty cùng Tập đoàn với cổ đông lớn,Bán hàng,4.493.160.265,5.500.000,,,4493160265.0,5500000.0
Công ty TNHH MTV Thương mại Đồng Tâm,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Thương mại Đồng Tâm,Công ty TNHH MTV Thương mại Đồng Tâm,Cổ đông lớn,Bán hàng,-,34.785.699.848,,,,34785699848.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn của khách hàng > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho thuê văn phòng,-,16.500.000,,,,16500000.0
,,,,,4.493.160.265,34.807.699.848,,,4493160265.0,34807699848.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu về cho vay > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Cho vay,37.349.424.000,37.892.868.000,,,37349424000.0,37892868000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Phải thu ngắn hạn khác > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Lãi cho vay,307.028.351,324.916.773,,,307028351.0,324916773.0
Ông Mai Hữu Tín,Phải thu ngắn hạn khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Chủ tịch Hội đồng quản trị,Chi hộ,204.689.860,227.380.995,,,204689860.0,227380995.0
Công ty Cổ phần Bao bì Trường Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Chi hộ,54.303.700,65.303.700,,,54303700.0,65303700.0
Ông Nguyễn Trọng Hiếu,Phải thu ngắn hạn khác > Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Tổng Giám Đốc,Chi hộ,-,1.680.000,,,,1680000.0
,,,,,566.021.911,619.281.468,,,566021911.0,619281468.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,1.717.935.076,1.730.935.076,,,1717935076.0,1730935076.0
Công ty TNHH MTVThương mại Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH MTVThương mại Đồng Tâm,Công ty TNHH MTVThương mại Đồng Tâm,Công ty cùng tập đoàn với cổ đông lớn,Mua hàng,1.043.520.060,-,,,1043520060.0,
Công ty Cổ phần Đồng Tâm,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm,Công ty Cổ phần Đồng Tâm,Công ty mẹ của cổ đông lớn,Mua hàng,421.000.000,88.000.000,,,421000000.0,88000000.0
Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty TNHH MTV Sản xuất Vật liệu Xây dựng Đồng Tâm,Công ty cùng Tập đoàn với cổ đông lớn,Mua hàng,74.870.298,4.492.840,,,74870298.0,4492840.0
Công ty Cổ phần Đồng Tâm Dotalia,Phải trả người bán ngắn hạn > Công ty Cổ phần Đồng Tâm Dotalia,Công ty Cổ phần Đồng Tâm Dotalia,Công ty cùng Tập đoàn với cổ đông lớn,Mua hàng,37.932.840,-,,,37932840.0,
Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Phải trả người bán ngắn hạn > Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty TNHH Sản xuất Xây dựng Thương Mại Đồng Tâm,Công ty mẹ của cổ đông lớn,Mua hàng,22.000.000,44.000.000,,,22000000.0,44000000.0
,,,,,3.317.258.274,1.867.427.916,,,3317258274.0,1867427916.0
