row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,53.452.282.349,271.078.323.249,(226.611.997.733),97.918.607.865,53452282349.0,271078323249.0,-226611997733.0,97918607865.0
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,3.471.807.770,118.622.449,(45.261.570),3.545.168.649,3471807770.0,118622449.0,-45261570.0,3545168649.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,56.924.090.119,271.196.945.698,(226.657.259.303),101.463.776.514,56924090119.0,271196945698.0,-226657259303.0,101463776514.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,14.705.275.293,65.542.806.711,(67.189.483.844),13.058.598.160,14705275293.0,65542806711.0,-67189483844.0,13058598160.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.592.066.007,25.697.076,(468.451.380),8.149.311.703,8592066007.0,25697076.0,-468451380.0,8149311703.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.892.462.602,12.166.349.246,(11.025.754.006),6.033.057.842,4892462602.0,12166349246.0,-11025754006.0,6033057842.0
Khác,Phải nộp > Khác,Khác,572.164.701,1.791.890.375,(1.650.860.931),713.194.145,572164701.0,1791890375.0,-1650860931.0,713194145.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,28.761.968.603,79.526.743.408,(80.334.550.161),27.954.161.850,28761968603.0,79526743408.0,-80334550161.0,27954161850.0
