row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,507.238.147.131,-,507.238.147.131,507238147131.0,,507238147131.0
Vay trong năm,Vay trong năm,Vay trong năm,73.794.320.000,13.862.000.000,87.656.320.000,73794320000.0,13862000000.0,87656320000.0
Phân loại lại,Phân loại lại,Phân loại lại,2.228.600.000,(2.228.600.000),-,2228600000.0,-2228600000.0,
Trả gốc vay,Trả gốc vay,Trả gốc vay,(191.158.700.000),(716.800.000),(191.875.500.000),-191158700000.0,-716800000.0,-191875500000.0
Hoán đổi nợ vay (Thuyết minh số 25.1),Hoán đổi nợ vay (Thuyết minh số 25.1),Hoán đổi nợ vay (Thuyết minh số 25.1),(362.853.767.131),-,(362.853.767.131),-362853767131.0,,-362853767131.0
Số cuối năm,Số cuối năm,Số cuối năm,29.248.600.000,10.916.600.000,40.165.200.000,29248600000.0,10916600000.0,40165200000.0
