row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.111.983.020.000,(556.775.630.846),(552.965.000),17.170.909.622,8.963.110,(3.019.075.029.068),(447.240.732.182),3111983020000.0,-556775630846.0,-552965000.0,17170909622.0,8963110.0,-3019075029068.0,-447240732182.0
Phát hành cổ phiếu quỹ,Năm trước > Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,-,27.458.923.936,23.746.974.660,-,-,-,51.205.898.596,,27458923936.0,23746974660.0,,,,51205898596.0
Nhận bồi thường bằng cổ phiếu,Năm trước > Nhận bồi thường bằng cổ phiếu,Nhận bồi thường bằng cổ phiếu,-,-,(33.704.774.370),-,-,-,(33.704.774.370),,,-33704774370.0,,,,-33704774370.0
Giao dịch với cổ đông không kiểm soát,Năm trước > Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(55.273.145.487),(55.273.145.487),,,,,,-55273145487.0,-55273145487.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,30.538.502.901,30.538.502.901,,,,,,30538502901.0,30538502901.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),17.170.909.622,8.963.110,(3.043.809.671.654),(454.474.250.542),3111983020000.0,-529316706910.0,-10510764710.0,17170909622.0,8963110.0,-3043809671654.0,-454474250542.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),17.170.909.622,8.963.110,(3.043.809.671.654),(454.474.250.542),3111983020000.0,-529316706910.0,-10510764710.0,17170909622.0,8963110.0,-3043809671654.0,-454474250542.0
Phát hành cổ phiếu ưu đãi (**),Năm nay: > Phát hành cổ phiếu ưu đãi (**),Phát hành cổ phiếu ưu đãi (**),594.657.630.000,-,-,-,-,-,594.657.630.000,594657630000.0,,,,,,594657630000.0
Phát hành cổ phiếu quỹ (*),Năm nay: > Phát hành cổ phiếu quỹ (*),Phát hành cổ phiếu quỹ (*),-,11.605.200.290,9.957.799.710,-,-,-,21.563.000.000,,11605200290.0,9957799710.0,,,,21563000000.0
Chuyển đổi nợ vay thành vốn (**),Năm nay: > Chuyển đổi nợ vay thành vốn (**),Chuyển đổi nợ vay thành vốn (**),405.342.370.000,-,-,-,-,-,405.342.370.000,405342370000.0,,,,,,405342370000.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,(8.672.019.770),(8.672.019.770),,,,,,-8672019770.0,-8672019770.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,4.111.983.020.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.052.481.691.424),558.416.729.688,4111983020000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3052481691424.0,558416729688.0
