row_label_raw,row_label_full,col_0,Vốn điều lệ,Vốn điều lệ_1,Đã góp,Vốn sẽ được góp,numeric__Vốn điều lệ,numeric__Vốn điều lệ_1,numeric__Đã góp,numeric__Vốn sẽ được góp
,,,Vốn góp cam kết USD,Tỷ lệ sở hữu %,Đã góp,Vốn sẽ được góp,,,,
Natuzzi Singapore Pte. Ltd (*),Natuzzi Singapore Pte. Ltd (*),Natuzzi Singapore Pte. Ltd (*),5.357.000,20%,-,5.357.000,5357000.0,0.2,,5357000.0
