row_label_raw,row_label_full,"Tên công ty liên doanh,liên kết","Tên công ty liên doanh,liên kết_1",Địa điểm,Ngành nghề,Tỷ lệ lợi ích(%),Quyền biểu quyết(%),"numeric__Tên công ty liên doanh,liên kết_1",numeric__Địa điểm,numeric__Ngành nghề,numeric__Tỷ lệ lợi ích(%),numeric__Quyền biểu quyết(%)
1.,1.,1.,Công ty TNHH Trồng rừng Trường Thành OJI,Phú Yên,Trồng rừng,"51,00","51,00",,,,51.0,51.0
2.,2.,2.,Công ty Cổ phần Bao bì Trường Thành,Thành phố Hồ Chí Minh,Bao bì,"43,76","43,76",,,,43.76,43.76
3.,3.,3.,Công ty Cổ phần Viestones,Tình Bình Dương,Sản xuất đá xây dựng,"20,00","20,00",,,,20.0,20.0
